entry_ts,market,side,qty,entry_trigger_cents,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_notional_dollars,exit_ts,exit_trigger_cents,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_notional_dollars,outcome,resolution_source,result,gross_pnl_dollars,gross_pnl_percent,market_status,market_result,settlement_ts
2026-03-21 08:43:27,KXBTC15M-26MAR210845-45,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-21T12:45:10.8491Z
2026-03-21 08:54:01,KXBTC15M-26MAR210900-00,no,5,91,91,,91,4.55,,,,,,,win,kalshi_api,no,0.45,9.8901,finalized,no,2026-03-21T13:00:10.862473Z
2026-03-21 09:10:27,KXBTC15M-26MAR210915-15,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-21T13:15:10.854283Z
2026-03-21 09:20:01,KXBTC15M-26MAR210930-30,yes,5,90,90,,90,4.5,2026-03-21 09:20:38,78,75,,75,3.75,exited_before_settlement,bot_exit_signal,,-0.75,-16.6667,,,
2026-03-21 09:41:30,KXBTC15M-26MAR210945-45,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-21T13:45:10.954514Z
2026-03-21 09:58:36,KXBTC15M-26MAR211000-00,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-21T14:00:10.856884Z
2026-03-21 10:07:17,KXBTC15M-26MAR211015-15,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-21T14:15:10.856761Z
2026-03-21 10:25:29,KXBTC15M-26MAR211030-30,no,5,92,92,,92,4.6,,,,,,,win,kalshi_api,no,0.4,8.6957,finalized,no,2026-03-21T14:30:10.858837Z
2026-03-21 16:23:47,KXBTC15M-26MAR211630-30,yes,5,90,90,,90,4.5,2026-03-21 16:24:18,75,74,,74,3.7,exited_before_settlement,bot_exit_signal,,-0.8,-17.7778,,,
2026-03-21 16:58:33,KXBTC15M-26MAR211700-00,yes,5,90,90,,90,4.5,,,,,,,win,kalshi_api,yes,0.5,11.1111,finalized,yes,2026-03-21T21:00:10.859922Z
2026-03-21 17:09:23,KXBTC15M-26MAR211715-15,yes,3,90,90,,90,2.7,2026-03-21 17:09:53,64,63,,63,1.89,exited_before_settlement,bot_exit_signal,,-0.81,-30.0,,,
2026-03-21 17:28:47,KXBTC15M-26MAR211730-30,no,5,92,92,,92,4.6,,,,,,,win,kalshi_api,no,0.4,8.6957,finalized,no,2026-03-21T21:30:10.860547Z
2026-03-21 17:43:03,KXBTC15M-26MAR211745-45,yes,5,90,90,,90,4.5,2026-03-21 17:44:02,74,64,,64,3.2,exited_before_settlement,bot_exit_signal,,-1.3,-28.8889,,,
2026-03-21 17:52:41,KXBTC15M-26MAR211800-00,no,5,90,90,,90,4.5,2026-03-21 17:54:19,76,75,,75,3.75,exited_before_settlement,bot_exit_signal,,-0.75,-16.6667,,,
2026-03-21 18:08:53,KXBTC15M-26MAR211815-15,no,5,90,90,,90,4.5,,,,,,,win,kalshi_api,no,0.5,11.1111,finalized,no,2026-03-21T22:15:11.059531Z
2026-03-21 18:39:18,KXBTC15M-26MAR211845-45,yes,20,92,92,,92,18.4,,,,,,,win,kalshi_api,yes,1.6,8.6957,finalized,yes,2026-03-21T22:45:10.857779Z
2026-03-21 19:06:23,KXBTC15M-26MAR211915-15,no,20,90,90,,90,18.0,,,,,,,win,kalshi_api,no,2.0,11.1111,finalized,no,2026-03-21T23:15:10.857899Z
2026-03-21 19:28:49,KXBTC15M-26MAR211930-30,no,20,91,91,,91,18.2,,,,,,,win,kalshi_api,no,1.8,9.8901,finalized,no,2026-03-21T23:30:10.861087Z
2026-03-21 19:41:04,KXBTC15M-26MAR211945-45,yes,20,90,90,,90,18.0,,,,,,,win,kalshi_api,yes,2.0,11.1111,finalized,yes,2026-03-21T23:45:10.86166Z
2026-03-21 19:46:38,KXBTC15M-26MAR212000-00,no,20,90,90,,90,18.0,,,,,,,win,kalshi_api,no,2.0,11.1111,finalized,no,2026-03-22T00:00:10.854728Z
