mode,family,label,score_feature,min_score,ask_max,require_book_agreement,observed_pass,target_pass,all_rows,all_wins,all_accuracy,all_retention,all_total_rows,train_rows,train_wins,train_accuracy,train_retention,train_total_rows,validation_rows,validation_wins,validation_accuracy,validation_retention,validation_total_rows,holdout_rows,holdout_wins,holdout_accuracy,holdout_retention,holdout_total_rows
two_side_minute_bucket,brownian_rv30,brownian_p_rv_30m>=0.85; ask<=95,brownian_p_rv_30m,0.85,95.0,False,False,False,580,534,0.9206896551724137,0.10484454085321765,5532,369,340,0.9214092140921409,0.11117806568243446,3319,103,95,0.9223300970873787,0.09312839059674503,1106,108,99,0.9166666666666666,0.0975609756097561,1107
two_side_minute_bucket,brownian_rv30_book_agree,brownian_p_rv_30m>=0.85; book agrees; ask<=95,brownian_p_rv_30m,0.85,95.0,True,False,False,580,534,0.9206896551724137,0.10484454085321765,5532,369,340,0.9214092140921409,0.11117806568243446,3319,103,95,0.9223300970873787,0.09312839059674503,1106,108,99,0.9166666666666666,0.0975609756097561,1107
two_side_minute_bucket,min_book_rv15,score_min_book_rv15>=0.85; ask<=90,score_min_book_rv15,0.85,90.0,False,False,False,161,154,0.9565217391304348,0.029103398409255243,5532,108,105,0.9722222222222222,0.032539921663151554,3319,29,27,0.9310344827586207,0.026220614828209764,1106,24,22,0.9166666666666666,0.02168021680216802,1107
two_side_minute_bucket,book,book_p_side>=0.75; ask<=100,book_p_side,0.75,100.0,False,False,False,2948,2739,0.9291044776119403,0.5328994938539408,5532,1706,1584,0.9284876905041032,0.5140102440494124,3319,636,601,0.9449685534591195,0.5750452079566004,1106,606,554,0.9141914191419142,0.5474254742547425,1107
two_side_minute_bucket,mean_book_rv15,score_mean_book_rv15>=0.90; ask<=95,score_mean_book_rv15,0.9,95.0,False,False,False,378,357,0.9444444444444444,0.06832971800433839,5532,233,224,0.9613733905579399,0.07020186803253992,3319,76,70,0.9210526315789473,0.06871609403254973,1106,69,63,0.9130434782608695,0.06233062330623306,1107
two_side_minute_bucket,min_book_rv15,score_min_book_rv15>=0.70; ask<=100,score_min_book_rv15,0.7,100.0,False,False,False,2895,2683,0.9267702936096719,0.5233188720173536,5532,1688,1564,0.9265402843601895,0.5085869237722206,3319,612,577,0.9428104575163399,0.5533453887884268,1106,595,542,0.9109243697478991,0.5374887082204155,1107
two_side_minute_bucket,mean_book_rv15_drift5,score_mean_book_rv15_drift5>=0.90; ask<=90,score_mean_book_rv15_drift5,0.9,90.0,False,False,False,197,186,0.9441624365482234,0.03561099060014461,5532,134,128,0.9552238805970149,0.040373606507984335,3319,33,30,0.9090909090909091,0.029837251356238697,1106,30,28,0.9333333333333333,0.02710027100271003,1107
two_side_minute_bucket,mean_book_rv15,score_mean_book_rv15>=0.85; ask<=90,score_mean_book_rv15,0.85,90.0,False,False,False,259,243,0.9382239382239382,0.04681851048445409,5532,172,163,0.9476744186046512,0.051822838204278396,3319,44,40,0.9090909090909091,0.039783001808318265,1106,43,40,0.9302325581395349,0.03884372177055104,1107
two_side_minute_bucket,brownian_rv15,brownian_p_rv_15m>=0.70; ask<=100,brownian_p_rv_15m,0.7,100.0,False,False,False,2989,2753,0.9210438273670124,0.5403109182935647,5532,1751,1614,0.92175899486008,0.5275685447423922,3319,626,583,0.9313099041533547,0.566003616636528,1106,612,556,0.9084967320261438,0.5528455284552846,1107
two_side_minute_bucket,brownian_rv15_book_agree,brownian_p_rv_15m>=0.70; book agrees; ask<=100,brownian_p_rv_15m,0.7,100.0,True,False,False,2987,2753,0.9216605289588216,0.5399493853940709,5532,1749,1614,0.9228130360205832,0.526965953600482,3319,626,583,0.9313099041533547,0.566003616636528,1106,612,556,0.9084967320261438,0.5528455284552846,1107
two_side_minute_bucket,mean_book_rv15_drift5,score_mean_book_rv15_drift5>=0.90; ask<=95,score_mean_book_rv15_drift5,0.9,95.0,False,False,False,565,531,0.9398230088495575,0.10213304410701374,5532,339,323,0.9528023598820059,0.10213919855378126,3319,118,110,0.9322033898305084,0.10669077757685352,1106,108,98,0.9074074074074074,0.0975609756097561,1107
two_side_minute_bucket,mean_book_rv15,score_mean_book_rv15>=0.70; ask<=100,score_mean_book_rv15,0.7,100.0,False,False,False,3151,2888,0.9165344335131704,0.5695950831525669,5532,1840,1684,0.9152173913043479,0.5543838505573968,3319,672,626,0.9315476190476191,0.6075949367088608,1106,639,578,0.9045383411580594,0.5772357723577236,1107
