mode,split,model,horizon_seconds,posterior_temperature,side_rows,opportunities,brier,logloss,ece10,side_choice_wins,side_choice_accuracy
two_side_all_heartbeats,validation,v34_h120_t098,120,0.98,7636,3818,0.13432970131603528,0.4020369596888216,0.009949622398326306,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h120_t098,120,0.98,7610,3805,0.1469789404468211,0.43822127682923384,0.009933481985646348,2929,0.7697766097240473
two_side_all_heartbeats,all,v34_h120_t100,120,1.0,38042,19021,0.14604945171750353,0.4407034409743131,0.01773335687102335,14767,0.776352452552442
two_side_all_heartbeats,train,v34_h120_t100,120,1.0,22796,11398,0.14967826382809088,0.45466625243764186,0.023574504712482514,8818,0.7736444990349184
two_side_all_heartbeats,validation,v34_h120_t100,120,1.0,7636,3818,0.13426758552079082,0.4016814143159652,0.008539548937411863,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h120_t100,120,1.0,7610,3805,0.14700134782856125,0.4380327373534327,0.011586694783680816,2929,0.7697766097240473
two_side_all_heartbeats,all,v34_h120_t102,120,1.02,38042,19021,0.14609437639153136,0.4405728577623312,0.017856439275786392,14767,0.776352452552442
two_side_all_heartbeats,train,v34_h120_t102,120,1.02,22796,11398,0.1497580983417519,0.4545817707231,0.02333346158945526,8818,0.7736444990349184
two_side_all_heartbeats,validation,v34_h120_t102,120,1.02,7636,3818,0.134219569784257,0.4014061064827966,0.010052165150599384,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h120_t102,120,1.02,7610,3805,0.14703495690085047,0.43790927470278307,0.012752146561215434,2929,0.7697766097240473
two_side_all_heartbeats,all,v34_h130_t098,130,0.98,38042,19021,0.1460126273196299,0.4412204264126041,0.01659121441871223,14767,0.776352452552442
two_side_all_heartbeats,train,v34_h130_t098,130,0.98,22796,11398,0.14960737196790685,0.45527963516844877,0.02252309744685708,8818,0.7736444990349184
two_side_all_heartbeats,validation,v34_h130_t098,130,0.98,7636,3818,0.13439443176260088,0.40230758210691847,0.010886822810328102,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h130_t098,130,0.98,7610,3805,0.14690234378104283,0.4381514062181205,0.009203703419728709,2929,0.7697766097240473
two_side_all_heartbeats,all,v34_h130_t100,130,1.0,38042,19021,0.14603986799335575,0.44098138392480535,0.017597343784162743,14767,0.776352452552442
two_side_all_heartbeats,train,v34_h130_t100,130,1.0,22796,11398,0.1496706223150965,0.45508577835496034,0.023012442071525446,8818,0.7736444990349184
two_side_all_heartbeats,validation,v34_h130_t100,130,1.0,7636,3818,0.1343252326127544,0.4019131907548592,0.009454369161107857,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h130_t100,130,1.0,7610,3805,0.14691848563433724,0.4379328882107311,0.010554967872594427,2929,0.7697766097240473
two_side_all_heartbeats,all,v34_h130_t102,130,1.02,38042,19021,0.14607863540844168,0.4408134525085581,0.01835916542779987,14767,0.776352452552442
two_side_all_heartbeats,train,v34_h130_t102,130,1.02,22796,11398,0.14974456765332037,0.4549610690467996,0.023633089636899193,8818,0.7736444990349184
two_side_all_heartbeats,validation,v34_h130_t102,130,1.02,7636,3818,0.13427021692587027,0.401600516704458,0.009294244361690737,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h130_t102,130,1.02,7610,3805,0.14694597996542744,0.43778072073383434,0.011965897213629045,2929,0.7697766097240473
two_side_all_heartbeats,all,v34_h140_t098,140,0.98,38042,19021,0.14597260939077766,0.4414082874971569,0.015881550918160788,14768,0.7764050260238684
two_side_all_heartbeats,train,v34_h140_t098,140,0.98,22796,11398,0.1495603056472357,0.45555915176302336,0.021505068935474526,8819,0.7737322337252149
two_side_all_heartbeats,validation,v34_h140_t098,140,0.98,7636,3818,0.13436472404989327,0.40229000946779614,0.010963014385324689,3020,0.7909900471451021
two_side_all_heartbeats,holdout,v34_h140_t098,140,0.98,7610,3805,0.14687309409521596,0.4382708458713364,0.009448991559498325,2929,0.7697766097240473
