dataset,model,edge_floor_cents,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_wilson95_lower,all_coverage,all_net_pnl_cents,all_net_roi_on_cost,all_median_ask,all_brier,all_logloss,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_wilson95_lower,train_coverage,train_net_pnl_cents,train_net_roi_on_cost,train_median_ask,train_brier,train_logloss,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_wilson95_lower,validation_coverage,validation_net_pnl_cents,validation_net_roi_on_cost,validation_median_ask,validation_brier,validation_logloss,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_wilson95_lower,holdout_coverage,holdout_net_pnl_cents,holdout_net_roi_on_cost,holdout_median_ask,holdout_brier,holdout_logloss,oos_positive,oos_coverage_pass
current,prob3_C0.05,2.0,307,58,42,16,0.7241379310344828,0.5979534481052067,0.18892508143322476,66.0,0.015965166908563134,70.0,0.16939942319151058,0.5161061159730558,184,39,29,10,0.7435897435897436,0.5891834407831603,0.21195652173913043,153.0,0.05569712413542046,69.0,0.14617873241039822,0.45238303217985515,61,13,10,3,0.7692307692307693,0.49743624053272495,0.21311475409836064,23.0,0.02354145342886387,72.0,0.17489229569817244,0.5549562679262728,62,6,3,3,0.5,0.1876163064826505,0.0967741935483871,-110.0,-0.2682926829268293,63.0,0.30843268950430697,0.8461308313968884,False,False
v21,prob3_C0.05,2.0,221,1,1,0,1.0,0.20654931437723742,0.004524886877828055,16.0,0.19047619047619047,82.0,0.015387792394327455,0.13244345991077044,132,1,1,0,1.0,0.20654931437723742,0.007575757575757576,16.0,0.19047619047619047,82.0,0.015387792394327455,0.13244345991077044,44,0,0,0,,,0.0,0.0,,,,,45,0,0,0,,,0.0,0.0,,,,,False,False
current,prob3_C0.05,5.0,307,12,6,6,0.5,0.2537815976337061,0.03908794788273615,-238.0,-0.2840095465393795,66.5,0.21947243066961775,0.5926394957506698,184,7,3,4,0.42857142857142855,0.15821985525146973,0.03804347826086957,-159.0,-0.3464052287581699,65.0,0.24100784727279922,0.655581934943531,61,4,3,1,0.75,0.3006418425824019,0.06557377049180328,-15.0,-0.047619047619047616,81.0,0.10715236690910802,0.31265366739943384,62,1,0,1,0.0,0.0,0.016129032258064516,-64.0,-1.0,62.0,0.5180047694893865,1.271985734805585,False,False
v21,prob3_C0.05,5.0,221,0,0,0,,,0.0,0.0,,,,,132,0,0,0,,,0.0,0.0,,,,,44,0,0,0,,,0.0,0.0,,,,,45,0,0,0,,,0.0,0.0,,,,,False,False
current,prob3_C0.05,10.0,307,2,1,1,0.5,0.09453120573423071,0.006514657980456026,-42.0,-0.29577464788732394,69.0,0.2727393060466125,0.7069088610633264,184,1,0,1,0.0,0.0,0.005434782608695652,-63.0,-1.0,61.0,0.5377190954098104,1.321605806999137,61,1,1,0,1.0,0.20654931437723742,0.01639344262295082,21.0,0.26582278481012656,77.0,0.007759516683414584,0.09221191512751586,62,0,0,0,,,0.0,0.0,,,,,False,False
v21,prob3_C0.05,10.0,221,0,0,0,,,0.0,0.0,,,,,132,0,0,0,,,0.0,0.0,,,,,44,0,0,0,,,0.0,0.0,,,,,45,0,0,0,,,0.0,0.0,,,,,False,False
current,prob3_C0.05,15.0,307,1,1,0,1.0,0.20654931437723742,0.003257328990228013,53.0,1.127659574468085,45.0,0.039594312789189325,0.22187335492207313,184,0,0,0,,,0.0,0.0,,,,,61,1,1,0,1.0,0.20654931437723742,0.01639344262295082,53.0,1.127659574468085,45.0,0.039594312789189325,0.22187335492207313,62,0,0,0,,,0.0,0.0,,,,,False,False
v21,prob3_C0.05,15.0,221,0,0,0,,,0.0,0.0,,,,,132,0,0,0,,,0.0,0.0,,,,,44,0,0,0,,,0.0,0.0,,,,,45,0,0,0,,,0.0,0.0,,,,,False,False
current,prob3_C0.05,20.0,307,1,1,0,1.0,0.20654931437723742,0.003257328990228013,53.0,1.127659574468085,45.0,0.039594312789189325,0.22187335492207313,184,0,0,0,,,0.0,0.0,,,,,61,1,1,0,1.0,0.20654931437723742,0.01639344262295082,53.0,1.127659574468085,45.0,0.039594312789189325,0.22187335492207313,62,0,0,0,,,0.0,0.0,,,,,False,False
v21,prob3_C0.05,20.0,221,0,0,0,,,0.0,0.0,,,,,132,0,0,0,,,0.0,0.0,,,,,44,0,0,0,,,0.0,0.0,,,,,45,0,0,0,,,0.0,0.0,,,,,False,False
