model,min_edge_cents,cost_cents,block_kind,block,denominator_markets,selected_markets,coverage,wins,losses,gross_net_cents,net_after_cost_cents
book_v33_drift3_platt,1.0,1.0,block10,9,33,33,1.0,18,15,-14.0,-47.0
book_v33_drift3_platt,1.0,1.0,block20,0,17,17,1.0,11,6,133.0,116.0
book_v33_drift3_platt,1.0,1.0,block20,1,16,16,1.0,10,6,84.0,68.0
book_v33_drift3_platt,1.0,1.0,block20,2,17,17,1.0,7,10,-232.0,-249.0
book_v33_drift3_platt,1.0,1.0,block20,3,16,16,1.0,8,8,-93.0,-109.0
book_v33_drift3_platt,1.0,1.0,block20,4,17,17,1.0,12,5,224.0,207.0
book_v33_drift3_platt,1.0,1.0,block20,5,16,16,1.0,9,7,-20.0,-36.0
book_v33_drift3_platt,1.0,1.0,block20,6,17,17,1.0,11,6,117.0,100.0
book_v33_drift3_platt,1.0,1.0,block20,7,16,16,1.0,9,7,-46.0,-62.0
book_v33_drift3_platt,1.0,1.0,block20,8,17,17,1.0,9,8,-57.0,-74.0
book_v33_drift3_platt,1.0,1.0,block20,9,16,16,1.0,9,7,-105.0,-121.0
book_v33_drift3_platt,1.0,1.0,block20,10,16,16,1.0,10,6,-52.0,-68.0
book_v33_drift3_platt,1.0,1.0,block20,11,17,16,0.9411764705882353,11,5,186.0,170.0
book_v33_drift3_platt,1.0,1.0,block20,12,16,16,1.0,8,8,-132.0,-148.0
book_v33_drift3_platt,1.0,1.0,block20,13,17,17,1.0,12,5,272.0,255.0
book_v33_drift3_platt,1.0,1.0,block20,14,16,16,1.0,9,7,-29.0,-45.0
book_v33_drift3_platt,1.0,1.0,block20,15,17,17,1.0,9,8,-34.0,-51.0
book_v33_drift3_platt,1.0,1.0,block20,16,16,16,1.0,11,5,210.0,194.0
book_v33_drift3_platt,1.0,1.0,block20,17,17,17,1.0,12,5,257.0,240.0
book_v33_drift3_platt,1.0,1.0,block20,18,16,16,1.0,9,7,35.0,19.0
book_v33_drift3_platt,1.0,1.0,block20,19,17,17,1.0,9,8,-49.0,-66.0
book_v33_drift3_platt,1.0,2.0,block10,0,33,33,1.0,21,12,217.0,151.0
book_v33_drift3_platt,1.0,2.0,block10,1,33,33,1.0,15,18,-325.0,-391.0
book_v33_drift3_platt,1.0,2.0,block10,2,33,33,1.0,21,12,204.0,138.0
book_v33_drift3_platt,1.0,2.0,block10,3,33,33,1.0,20,13,71.0,5.0
book_v33_drift3_platt,1.0,2.0,block10,4,33,33,1.0,18,15,-162.0,-228.0
book_v33_drift3_platt,1.0,2.0,block10,5,33,32,0.9696969696969697,21,11,134.0,70.0
book_v33_drift3_platt,1.0,2.0,block10,6,33,33,1.0,20,13,140.0,74.0
book_v33_drift3_platt,1.0,2.0,block10,7,33,33,1.0,18,15,-63.0,-129.0
book_v33_drift3_platt,1.0,2.0,block10,8,33,33,1.0,23,10,467.0,401.0
book_v33_drift3_platt,1.0,2.0,block10,9,33,33,1.0,18,15,-14.0,-80.0
book_v33_drift3_platt,1.0,2.0,block20,0,17,17,1.0,11,6,133.0,99.0
book_v33_drift3_platt,1.0,2.0,block20,1,16,16,1.0,10,6,84.0,52.0
book_v33_drift3_platt,1.0,2.0,block20,2,17,17,1.0,7,10,-232.0,-266.0
book_v33_drift3_platt,1.0,2.0,block20,3,16,16,1.0,8,8,-93.0,-125.0
book_v33_drift3_platt,1.0,2.0,block20,4,17,17,1.0,12,5,224.0,190.0
book_v33_drift3_platt,1.0,2.0,block20,5,16,16,1.0,9,7,-20.0,-52.0
book_v33_drift3_platt,1.0,2.0,block20,6,17,17,1.0,11,6,117.0,83.0
book_v33_drift3_platt,1.0,2.0,block20,7,16,16,1.0,9,7,-46.0,-78.0
book_v33_drift3_platt,1.0,2.0,block20,8,17,17,1.0,9,8,-57.0,-91.0
book_v33_drift3_platt,1.0,2.0,block20,9,16,16,1.0,9,7,-105.0,-137.0
book_v33_drift3_platt,1.0,2.0,block20,10,16,16,1.0,10,6,-52.0,-84.0
book_v33_drift3_platt,1.0,2.0,block20,11,17,16,0.9411764705882353,11,5,186.0,154.0
book_v33_drift3_platt,1.0,2.0,block20,12,16,16,1.0,8,8,-132.0,-164.0
book_v33_drift3_platt,1.0,2.0,block20,13,17,17,1.0,12,5,272.0,238.0
book_v33_drift3_platt,1.0,2.0,block20,14,16,16,1.0,9,7,-29.0,-61.0
book_v33_drift3_platt,1.0,2.0,block20,15,17,17,1.0,9,8,-34.0,-68.0
book_v33_drift3_platt,1.0,2.0,block20,16,16,16,1.0,11,5,210.0,178.0
book_v33_drift3_platt,1.0,2.0,block20,17,17,17,1.0,12,5,257.0,223.0
book_v33_drift3_platt,1.0,2.0,block20,18,16,16,1.0,9,7,35.0,3.0
book_v33_drift3_platt,1.0,2.0,block20,19,17,17,1.0,9,8,-49.0,-83.0
book_v31_time_platt,1.0,0.0,block10,0,33,33,1.0,21,12,50.0,50.0
book_v31_time_platt,1.0,0.0,block10,1,33,33,1.0,23,10,236.0,236.0
book_v31_time_platt,1.0,0.0,block10,2,33,33,1.0,25,8,418.0,418.0
book_v31_time_platt,1.0,0.0,block10,3,33,33,1.0,20,13,-120.0,-120.0
book_v31_time_platt,1.0,0.0,block10,4,33,33,1.0,23,10,238.0,238.0
book_v31_time_platt,1.0,0.0,block10,5,33,32,0.9696969696969697,25,7,461.0,461.0
book_v31_time_platt,1.0,0.0,block10,6,33,33,1.0,22,11,70.0,70.0
book_v31_time_platt,1.0,0.0,block10,7,33,33,1.0,23,10,164.0,164.0
book_v31_time_platt,1.0,0.0,block10,8,33,33,1.0,23,10,190.0,190.0
book_v31_time_platt,1.0,0.0,block10,9,33,33,1.0,20,13,-54.0,-54.0
book_v31_time_platt,1.0,0.0,block20,0,17,17,1.0,10,7,-77.0,-77.0
book_v31_time_platt,1.0,0.0,block20,1,16,16,1.0,11,5,127.0,127.0
