market,ts_wall,side,reason,status,result,side_won,ask_cents,qty,hypothetical_hold_gross_cents,verdict,actionable_shadow,p_side,brier,edge_cents,raw_edge_cents,fair_side_cents,seconds_to_close,sigma_t_dollars,abs_d_sigma,recross_hazard_score,btc_age_ms,book_age_ms,eligible_depth,p_ok,edge_ok,model_price_ok,ask_ok,book_ok,btc_ok,risk_ok,h6_recross_hazard_high
KXBTC15M-26MAY070130-30,2026-05-07T05:28:50.005896+00:00,no,time_window,finalized,no,True,82,2,36,missed_profit,False,0.993042,4.841376400000027e-05,13.804227,15.804227,99.304227,69.996,29.055814,2.352025,0.007712175864679976,89703.0,953.0,349.85,True,True,True,True,True,False,True,False
KXBTC15M-26MAY070130-30,2026-05-07T05:30:00.000280+00:00,yes,missing_horizon,finalized,no,False,0,1,0,neutral,False,,,,,,0.0,,,,159703.0,953.0,14718.8,,,,True,True,False,,False
KXBTC15M-26MAY070130-30,2026-05-07T05:30:00.001283+00:00,no,missing_horizon,finalized,no,True,100,1,0,neutral,False,,,,,,0.0,,,,159703.0,953.0,0.0,,,,False,True,False,,False
KXBTC15M-26MAY070145-45,2026-05-07T05:30:15.971406+00:00,yes,btc_stale,finalized,no,False,61,2,-122,protected_loss,False,0.476172,0.226739773584,-17.382795,-15.382795,47.617205,884.029,104.11702,0.036497,0.9949088291756972,175671.0,0.0,133.0,False,False,False,True,True,False,True,True
KXBTC15M-26MAY070145-45,2026-05-07T05:30:15.972407+00:00,no,btc_stale,finalized,no,True,40,2,120,missed_profit,False,0.523828,0.22673977358400005,8.382795,10.382795,52.382795,884.029,104.11702,0.036497,0.9949088291756972,175671.0,0.0,90.1,False,True,True,True,True,False,True,True
KXBTC15M-26MAY070145-45,2026-05-07T05:31:12.985693+00:00,yes,book_stale,finalized,no,False,64,2,-128,protected_loss,False,0.594401,0.35331254880099994,-8.559851,-6.559851,59.440149,827.015,100.842218,0.23988,0.760500086167527,232687.0,1031.0,205.0,False,False,False,True,False,False,True,True
KXBTC15M-26MAY070145-45,2026-05-07T05:31:12.987690+00:00,no,book_stale,finalized,no,True,38,2,124,missed_profit,False,0.405599,0.35331254880099994,-1.440149,0.559851,40.559851,827.015,100.842218,0.23988,0.760500086167527,232687.0,1031.0,659.07,False,False,False,True,False,False,True,True
KXBTC15M-26MAY070145-45,2026-05-07T05:35:56.191048+00:00,yes,p_below_floor,finalized,no,False,26,2,-52,protected_loss,True,0.360455,0.129927807025,6.54551,8.54551,36.04551,543.81,81.968396,0.326223,0.4598031348871187,0.0,234.0,481.0,False,True,True,True,True,True,True,True
KXBTC15M-26MAY070145-45,2026-05-07T05:35:56.193046+00:00,no,p_below_floor,finalized,no,True,75,2,50,missed_profit,True,0.639545,0.12992780702499998,-14.54551,-12.54551,63.95449,543.81,81.968396,0.326223,0.4598031348871187,0.0,234.0,61.38,False,False,False,True,True,True,True,True
KXBTC15M-26MAY070145-45,2026-05-07T05:43:34.165056+00:00,no,ask_too_high,finalized,no,True,98,2,4,missed_profit,True,0.936094,0.004083976836000002,-6.890563,-4.890563,93.609437,85.837,32.388525,1.241798,0.028893567116496585,31.0,203.0,47.94,True,False,False,False,True,True,True,False
KXBTC15M-26MAY070145-45,2026-05-07T05:43:50.015489+00:00,yes,time_window,finalized,no,False,2,2,-4,protected_loss,False,0.169424,0.028704491775999996,12.442362,14.442362,16.942362,69.986,29.251796,0.77226,0.037683272505007054,15672.0,47.0,135.65,False,True,True,True,True,False,True,False
KXBTC15M-26MAY070145-45,2026-05-07T05:43:50.016488+00:00,no,time_window,finalized,no,True,100,1,0,neutral,False,0.830576,0.028704491776000006,-19.442362,-17.442362,83.057638,69.986,29.251796,0.77226,0.037683272505007054,15687.0,47.0,3466.0,False,False,False,False,True,False,True,False
KXBTC15M-26MAY070145-45,2026-05-07T05:45:00.015007+00:00,yes,missing_horizon,finalized,no,False,0,1,0,neutral,False,,,,,,0.0,,,,85672.0,47.0,5195.13,,,,True,True,False,,False
KXBTC15M-26MAY070145-45,2026-05-07T05:45:00.016009+00:00,no,missing_horizon,finalized,no,True,100,1,0,neutral,False,,,,,,0.0,,,,85687.0,47.0,0.0,,,,False,True,False,,False
KXBTC15M-26MAY070200-00,2026-05-07T05:45:15.154507+00:00,yes,btc_stale,finalized,no,False,42,2,-84,protected_loss,False,0.495633,0.245652070689,3.563292,5.563292,49.563292,884.846,103.886527,0.014824,1.0149247365557448,100812.0,0.0,13.6,False,True,True,True,True,False,True,True
KXBTC15M-26MAY070200-00,2026-05-07T05:45:15.155508+00:00,no,btc_stale,finalized,no,True,60,2,80,missed_profit,False,0.504367,0.245652070689,-13.563292,-11.563292,50.436708,884.846,103.886527,0.014824,1.0149247365557448,100812.0,0.0,79.92,False,False,False,True,True,False,True,True
KXBTC15M-26MAY070200-00,2026-05-07T05:48:43.213572+00:00,yes,book_stale,finalized,no,False,34,2,-68,protected_loss,False,0.348557,0.121491982249,-3.144259,-1.144259,34.855741,676.787,90.403858,0.360162,0.5468589755577916,308875.0,1063.0,1243.58,False,False,False,True,False,False,True,True
KXBTC15M-26MAY070200-00,2026-05-07T05:48:43.215578+00:00,no,book_stale,finalized,no,True,67,2,66,missed_profit,False,0.651443,0.121491982249,-5.855741,-3.855741,65.144259,676.787,90.403858,0.360162,0.5468589755577916,308875.0,1063.0,960.34,False,False,False,True,False,False,True,True
KXBTC15M-26MAY070200-00,2026-05-07T05:51:07.209567+00:00,yes,p_below_floor,finalized,no,False,30,2,-60,protected_loss,True,0.50571,0.2557426041,17.071017,19.071017,50.571017,532.791,79.862484,0.019784,0.6024318401067633,0.0,63.0,68.58,False,True,True,True,True,True,True,True
KXBTC15M-26MAY070200-00,2026-05-07T05:51:07.211569+00:00,no,p_below_floor,finalized,no,True,71,2,58,missed_profit,True,0.49429,0.2557426041,-25.071017,-23.071017,49.428983,532.791,79.862484,0.019784,0.6024318401067633,0.0,63.0,3.67,False,False,False,True,True,True,True,True
