dataset,candidate,block_index,block_start_close_dt,block_end_close_dt,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
current,logit60_edge10_control,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,19,0.95,16,3,0.8421052631578947,163.0,0.11343075852470424,72.0,True,True
current,logit60_edge10_control,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,19,0.95,15,4,0.7894736842105263,23.0,0.015572105619498984,74.0,True,True
current,logit60_edge10_control,3,2026-05-01 17:30:00+00:00,2026-05-01 22:15:00+00:00,20,20,1.0,19,1,0.95,420.0,0.28378378378378377,71.5,True,True
current,logit60_edge10_control,4,2026-05-01 22:30:00+00:00,2026-05-02 03:15:00+00:00,20,20,1.0,15,5,0.75,-40.0,-0.025974025974025976,73.5,False,True
current,logit60_edge10_control,5,2026-05-02 03:30:00+00:00,2026-05-02 08:15:00+00:00,20,20,1.0,16,4,0.8,61.0,0.0396361273554256,73.0,True,True
current,logit60_edge10_control,6,2026-05-02 08:30:00+00:00,2026-05-02 13:15:00+00:00,20,19,0.95,15,4,0.7894736842105263,48.0,0.03305785123966942,74.0,True,True
current,logit60_edge10_control,7,2026-05-02 13:30:00+00:00,2026-05-02 19:00:00+00:00,20,19,0.95,15,4,0.7894736842105263,58.0,0.04022191400832178,70.0,True,True
current,logit60_edge10_control,8,2026-05-02 19:15:00+00:00,2026-05-03 00:00:00+00:00,20,20,1.0,17,3,0.85,239.0,0.16358658453114305,70.5,True,True
current,logit60_edge10_control,9,2026-05-03 00:15:00+00:00,2026-05-03 06:45:00+00:00,20,19,0.95,17,2,0.8947368421052632,278.0,0.19549929676511954,72.0,True,True
current,logit60_edge10_control,10,2026-05-03 07:00:00+00:00,2026-05-03 11:45:00+00:00,20,19,0.95,15,4,0.7894736842105263,103.0,0.0737294201861131,70.0,True,True
current,logit60_edge10_control,11,2026-05-03 12:00:00+00:00,2026-05-03 17:00:00+00:00,20,20,1.0,12,8,0.6,-323.0,-0.21208141825344715,73.5,False,True
current,logit60_edge10_control,12,2026-05-03 17:15:00+00:00,2026-05-03 22:00:00+00:00,20,19,0.95,15,4,0.7894736842105263,33.0,0.022494887525562373,72.0,True,True
current,logit60_edge10_control,13,2026-05-03 22:15:00+00:00,2026-05-04 03:00:00+00:00,20,19,0.95,14,5,0.7368421052631579,-44.0,-0.030470914127423823,72.0,False,True
current,logit60_edge10_control,14,2026-05-04 03:15:00+00:00,2026-05-04 06:00:00+00:00,12,12,1.0,7,5,0.5833333333333334,-193.0,-0.21612541993281076,71.0,False,True
current,logit60_edge15_control,0,2026-05-01 02:30:00+00:00,2026-05-01 07:15:00+00:00,20,20,1.0,13,7,0.65,-150.0,-0.10344827586206896,71.5,False,True
current,logit60_edge15_control,1,2026-05-01 07:30:00+00:00,2026-05-01 12:15:00+00:00,20,19,0.95,16,3,0.8421052631578947,154.0,0.10650069156293222,73.0,True,True
current,logit60_edge15_control,2,2026-05-01 12:30:00+00:00,2026-05-01 17:15:00+00:00,20,19,0.95,15,4,0.7894736842105263,89.0,0.06307583274273565,72.0,True,True
