rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND entry_to_exit_loss_cents>=15,3,0.04477611940298507,-38.20000000000001,2.219999999999999,2,1,-20.260000000000005,-14.580000000000002,-3.3600000000000003,2,0,1,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=75 AND exit_sigma_t_dollars>=100,5,0.07462686567164178,-38.42000000000001,2.0,4,1,-18.380000000000003,-14.580000000000002,-5.46,5,0,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=4 AND fair_minus_exit_bid_cents>=10,5,0.07462686567164178,-38.44000000000001,1.9799999999999969,3,2,-18.400000000000006,-14.580000000000002,-5.46,5,0,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND fair_minus_exit_bid_cents>=10,5,0.07462686567164178,-38.44000000000001,1.9799999999999969,3,2,-18.400000000000006,-14.580000000000002,-5.46,5,0,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND exit_fair_drawdown_cents<=0,3,0.04477611940298507,-38.460000000000015,1.9599999999999937,2,1,-18.420000000000005,-14.580000000000002,-5.46,3,0,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.68 AND exit_sigma_t_dollars>=100,3,0.04477611940298507,-38.48000000000001,1.9399999999999977,3,0,-18.440000000000005,-14.580000000000002,-5.46,3,0,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=60 AND exit_fair_drawdown_cents<=4,3,0.04477611940298507,-38.54000000000001,1.8799999999999955,3,0,-19.820000000000004,-14.580000000000002,-4.14,1,0,2,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=65 AND exit_fair_drawdown_cents<=4,3,0.04477611940298507,-38.54000000000001,1.8799999999999955,3,0,-19.820000000000004,-14.580000000000002,-4.14,1,0,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_fair_drawdown_cents<=4,3,0.04477611940298507,-38.54000000000001,1.8799999999999955,3,0,-19.820000000000004,-14.580000000000002,-4.14,1,0,2,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=0 AND position_seconds>=90,3,0.04477611940298507,-38.56000000000001,1.8599999999999994,2,1,-18.520000000000007,-14.580000000000002,-5.46,3,0,0,True,True
