lock_name,rule,kept,base,retention,wins,losses,accuracy,net_pnl_cents,net_delta_vs_base,diagnostic_only
kinetic_guard,blend>=0.45,72,126,0.5714285714285714,53,19,0.7361111111111112,247.0,175.0,True
book_margin_early,adverse15<=100,80,101,0.7920792079207921,57,23,0.7125,242.0,137.0,True
logit_blend_edge10,ask<=60,47,75,0.6266666666666667,28,19,0.5957446808510638,242.0,111.0,True
book_margin,adverse15<=100,83,105,0.7904761904761904,59,24,0.7108433734939759,240.0,105.0,True
score_min60,signal_score>=0.70,23,102,0.22549019607843138,21,2,0.9130434782608695,225.0,409.0,True
book_margin_early,score>=0.55,66,101,0.6534653465346535,48,18,0.7272727272727273,224.0,119.0,True
logit_blend_edge10,adverse15<=10,49,75,0.6533333333333333,33,16,0.673469387755102,223.0,92.0,True
book_margin_early,book>=0.65,39,101,0.38613861386138615,31,8,0.7948717948717948,223.0,118.0,True
book_margin_early,signal_score>=0.65,39,101,0.38613861386138615,31,8,0.7948717948717948,223.0,118.0,True
book_margin,score>=0.55,69,105,0.6571428571428571,50,19,0.7246376811594203,222.0,87.0,True
book_margin,score>=0.70,10,105,0.09523809523809523,10,0,1.0,221.0,86.0,True
kinetic_path_confirm,adverse15<=50,101,118,0.8559322033898306,78,23,0.7722772277227723,218.0,225.0,True
kinetic_touch,ask<=60,34,134,0.2537313432835821,22,12,0.6470588235294118,215.0,500.0,True
impulse_reversal_book_margin_fade,score>=0.55,21,58,0.3620689655172414,16,5,0.7619047619047619,213.0,130.0,True
v2_wait_score_min60_early,signal_score>=0.70,22,101,0.21782178217821782,20,2,0.9090909090909091,212.0,407.0,True
kinetic_path_confirm,adverse15<=0,81,118,0.6864406779661016,63,18,0.7777777777777778,208.0,215.0,True
book_margin_gap015,score>=0.60,39,89,0.43820224719101125,29,10,0.7435897435897436,205.0,96.0,True
logit_blend_edge10,ask<=55,36,75,0.48,21,15,0.5833333333333334,204.0,73.0,True
book_margin_gap015,score>=0.55,57,89,0.6404494382022472,41,16,0.7192982456140351,203.0,94.0,True
book_margin,touch_loss<=0.85,45,105,0.42857142857142855,33,12,0.7333333333333333,202.0,67.0,True
logit_blend_edge10,adverse15<=25,51,75,0.68,34,17,0.6666666666666666,201.0,70.0,True
kinetic_price_guard,blend>=0.45,61,107,0.5700934579439252,41,20,0.6721311475409836,201.0,190.0,True
book_margin_gap015,hazard>=0.45,18,89,0.20224719101123595,15,3,0.8333333333333334,196.0,87.0,True
kinetic_combo_price_guard,ask<=70,100,100,1.0,67,33,0.67,192.0,0.0,True
kinetic_combo_price_guard,ask<=75,100,100,1.0,67,33,0.67,192.0,0.0,True
kinetic_combo_price_guard,score>=0.55,100,100,1.0,67,33,0.67,192.0,0.0,True
kinetic_combo_price_guard,adverse15<=100,100,100,1.0,67,33,0.67,192.0,0.0,True
kinetic_combo_price_guard,touch_loss<=0.95,100,100,1.0,67,33,0.67,192.0,0.0,True
kinetic_combo_price_guard,signal_score>=0.55,100,100,1.0,67,33,0.67,192.0,0.0,True
book_margin_early,score>=0.70,9,101,0.0891089108910891,9,0,1.0,191.0,86.0,True
impulse_reversal_book_margin_fade,impulse_over_margin<=40,56,58,0.9655172413793104,33,23,0.5892857142857143,186.0,103.0,True
impulse_reversal_book_margin_fade,adverse15<=0,29,58,0.5,19,10,0.6551724137931034,185.0,102.0,True
kinetic_path_confirm,adverse15<=25,95,118,0.8050847457627118,73,22,0.7684210526315789,184.0,191.0,True
kinetic_touch,blend>=0.45,74,134,0.5522388059701493,52,22,0.7027027027027027,179.0,464.0,True
book_margin_gap015,score>=0.70,8,89,0.0898876404494382,8,0,1.0,176.0,67.0,True
impulse_reversal_book_margin_fade,touch_loss<=0.85,17,58,0.29310344827586204,13,4,0.7647058823529411,173.0,90.0,True
impulse_reversal_book_margin_fade,impulse<=40,50,58,0.8620689655172413,29,21,0.58,172.0,89.0,True
book_margin_early,hazard>=0.45,17,101,0.16831683168316833,14,3,0.8235294117647058,172.0,67.0,True
book_margin,hazard>=0.45,17,105,0.1619047619047619,14,3,0.8235294117647058,172.0,37.0,True
impulse_reversal_book_margin_fade,adverse15<=50,36,58,0.6206896551724138,23,13,0.6388888888888888,171.0,88.0,True
kinetic_path_confirm,touch_loss<=0.75,93,118,0.788135593220339,73,20,0.7849462365591398,168.0,175.0,True
book_margin_early,adverse15<=0,65,101,0.6435643564356436,46,19,0.7076923076923077,168.0,63.0,True
book_margin_early,adverse15<=10,65,101,0.6435643564356436,46,19,0.7076923076923077,168.0,63.0,True
kinetic_price_guard,hazard>=0.45,24,107,0.22429906542056074,18,6,0.75,167.0,156.0,True
book_margin,adverse15<=0,68,105,0.6476190476190476,48,20,0.7058823529411765,166.0,31.0,True
book_margin,adverse15<=10,68,105,0.6476190476190476,48,20,0.7058823529411765,166.0,31.0,True
