dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_seconds_to_close
v21,book_margin_baseline,hour,6,8,5,3,0.625,-40.0,-5.0,63.5,809.5792805
v21,book_margin_baseline,hour,7,8,8,0,1.0,266.0,33.25,64.0,779.294083
v21,book_margin_baseline,hour,8,7,3,4,0.42857142857142855,-182.0,-26.0,67.0,779.650672
v21,book_margin_baseline,hour,9,8,7,1,0.875,131.0,16.375,69.0,779.538423
v21,book_margin_baseline,action,baseline,219,156,63,0.7123287671232876,425.0,1.9406392694063928,66.0,779.813589
v21,book_margin_baseline,impulse,<=0,16,13,3,0.8125,237.0,14.8125,63.0,862.1872095
v21,book_margin_baseline,impulse,<=120,23,16,7,0.6956521739130435,-67.0,-2.9130434782608696,71.0,839.080473
v21,book_margin_baseline,impulse,<=40,101,71,30,0.7029702970297029,190.0,1.881188118811881,65.0,779.34506
v21,book_margin_baseline,impulse,<=80,67,46,21,0.6865671641791045,-49.0,-0.7313432835820896,66.0,779.775556
v21,book_margin_baseline,impulse,>120,12,10,2,0.8333333333333334,114.0,9.5,69.0,779.9231935
v21,book_margin_baseline,over_margin,<=-20,18,12,6,0.6666666666666666,-11.0,-0.6111111111111112,64.0,839.8354810000001
v21,book_margin_baseline,over_margin,<=0,51,39,12,0.7647058823529411,336.0,6.588235294117647,66.0,779.279339
v21,book_margin_baseline,over_margin,<=20,85,60,25,0.7058823529411765,45.0,0.5294117647058824,66.0,779.247148
v21,book_margin_baseline,over_margin,<=40,39,26,13,0.6666666666666666,-67.0,-1.7179487179487178,65.0,839.011395
v21,book_margin_baseline,over_margin,>40,26,19,7,0.7307692307692307,122.0,4.6923076923076925,64.0,839.320473
current,book55_margin_baseline,split,holdout,62,42,20,0.6774193548387096,152.0,2.4516129032258065,60.5,840.3475
current,book55_margin_baseline,split,train,182,122,60,0.6703296703296703,603.0,3.3131868131868134,60.0,836.154
current,book55_margin_baseline,split,validation,61,34,27,0.5573770491803278,-531.0,-8.704918032786885,60.0,832.23
current,book55_margin_baseline,side,no,151,99,52,0.6556291390728477,193.0,1.2781456953642385,60.0,836.463
current,book55_margin_baseline,side,yes,154,99,55,0.6428571428571429,31.0,0.2012987012987013,60.0,835.019
current,book55_margin_baseline,hour,0,9,5,4,0.5555555555555556,-81.0,-9.0,61.0,859.548
current,book55_margin_baseline,hour,1,8,5,3,0.625,-30.0,-3.75,62.5,838.75
current,book55_margin_baseline,hour,10,12,10,2,0.8333333333333334,249.0,20.75,58.5,827.215
current,book55_margin_baseline,hour,11,12,8,4,0.6666666666666666,-18.0,-1.5,66.0,838.07
current,book55_margin_baseline,hour,12,12,10,2,0.8333333333333334,205.0,17.083333333333332,64.0,829.888
current,book55_margin_baseline,hour,13,12,7,5,0.5833333333333334,-83.0,-6.916666666666667,63.5,840.8565
current,book55_margin_baseline,hour,14,11,6,5,0.5454545454545454,-89.0,-8.090909090909092,59.0,835.718
current,book55_margin_baseline,hour,15,12,7,5,0.5833333333333334,-51.0,-4.25,57.5,838.7165
current,book55_margin_baseline,hour,16,8,4,4,0.5,-109.0,-13.625,59.0,839.6949999999999
current,book55_margin_baseline,hour,17,12,7,5,0.5833333333333334,-77.0,-6.416666666666667,62.5,835.6165
current,book55_margin_baseline,hour,18,12,11,1,0.9166666666666666,335.0,27.916666666666668,61.0,831.6725
current,book55_margin_baseline,hour,19,12,8,4,0.6666666666666666,43.0,3.5833333333333335,61.0,854.6795
current,book55_margin_baseline,hour,2,14,8,6,0.5714285714285714,-109.0,-7.785714285714286,61.0,830.184
current,book55_margin_baseline,hour,20,12,10,2,0.8333333333333334,263.0,21.916666666666668,58.0,833.7764999999999
current,book55_margin_baseline,hour,21,12,8,4,0.6666666666666666,32.0,2.6666666666666665,59.5,855.7909999999999
current,book55_margin_baseline,hour,22,12,9,3,0.75,100.0,8.333333333333334,62.0,828.1500000000001
current,book55_margin_baseline,hour,23,12,10,2,0.8333333333333334,236.0,19.666666666666668,60.0,836.69
current,book55_margin_baseline,hour,3,16,9,7,0.5625,-123.0,-7.6875,60.5,838.158
