dataset,split,feature,bucket,rows,brier_delta,logloss_delta,candidate_brier,candidate_logloss,candidate_side_accuracy,mean_p_yes,yes_rate
all_heartbeats,validation,seconds_to_close,"(60.0, 90.0]",131,-8.672802928946788e-07,-0.0005979048765908102,0.026834839608601897,0.08397044004941423,0.9389312977099237,0.5220178343371161,0.5190839694656488
all_heartbeats,validation,seconds_to_close,"(600.0, 900.0]",1198,-0.005314933440653646,-0.015093581272379808,0.23144643670504364,0.6671778459235986,0.6243739565943238,0.503044295256179,0.5208681135225376
all_heartbeats,validation,seconds_to_close,"(90.0, 120.0]",132,-6.801509087357022e-05,-0.0008500403100989429,0.02811057282854551,0.09151397514111394,0.9393939393939394,0.5172051014061468,0.5151515151515151
all_heartbeats,holdout,seconds_to_close,"(-0.001, 60.0]",263,-1.9864934542302565e-05,-0.00015058702593579582,0.010338395655180825,0.03297136719789249,0.9847908745247148,0.460239437318655,0.44106463878326996
all_heartbeats,holdout,seconds_to_close,"(120.0, 180.0]",263,-6.858988746680228e-05,-0.00024552883071563003,0.06831918163027266,0.21788811520324916,0.9239543726235742,0.45787675202236955,0.4372623574144487
all_heartbeats,holdout,seconds_to_close,"(180.0, 300.0]",527,-0.00012392863198500137,0.00023083206524848743,0.09796581225815985,0.3292994564300039,0.8652751423149905,0.45171226104769274,0.43833017077798864
all_heartbeats,holdout,seconds_to_close,"(300.0, 600.0]",1300,4.488276765246546e-05,-1.6680390445000803e-06,0.15756236376132407,0.47928795657892737,0.7646153846153846,0.46383944971659125,0.4307692307692308
all_heartbeats,holdout,seconds_to_close,"(60.0, 90.0]",132,8.517789756780358e-06,-0.0001824949975212098,0.0539141994736876,0.17351295252152535,0.9242424242424242,0.47492669698885387,0.4393939393939394
all_heartbeats,holdout,seconds_to_close,"(600.0, 900.0]",1189,-0.00039223780595334934,-0.00143498656379204,0.22539279880212273,0.6377069240414645,0.6173254835996635,0.5029828173311947,0.4272497897392767
all_heartbeats,holdout,seconds_to_close,"(90.0, 120.0]",131,-8.126699781962898e-05,-0.0007757504240686608,0.054318903354147796,0.17458862440716857,0.9236641221374046,0.4714277565454278,0.4351145038167939
all_heartbeats,all,abs_v32_d_sigma,"(-0.001, 0.25]",5297,-0.0005119625582100384,-0.0010426687734693685,0.24377980555006148,0.6806079900587495,0.5699452520294507,0.49405273782974035,0.4744194827260714
all_heartbeats,all,abs_v32_d_sigma,"(0.25, 0.5]",3187,-0.0004957684892012704,-0.0011624131888541278,0.21432091497291236,0.6198683545212579,0.6874803890806401,0.4916287233115086,0.48823344838406024
all_heartbeats,all,abs_v32_d_sigma,"(0.5, 0.75]",2024,0.0001831485896895968,0.00025508363080972707,0.18732636461074328,0.5614674159269473,0.7485177865612648,0.47776935949501387,0.4782608695652174
all_heartbeats,all,abs_v32_d_sigma,"(0.75, 1.0]",1480,-0.0010473660630609255,-0.003285235068569925,0.11103549955452116,0.3790598790985386,0.8702702702702703,0.4806515621370232,0.4445945945945946
all_heartbeats,all,abs_v32_d_sigma,"(1.0, 1.5]",1898,-0.0006903612728943048,-0.003997382995714227,0.07126883924737051,0.26888428051411833,0.9214963119072708,0.496979213770525,0.5021074815595363
all_heartbeats,all,abs_v32_d_sigma,"(1.5, 2.0]",1131,-2.4356007043868644e-05,4.415691772574615e-05,0.07021304554193676,0.282343950835309,0.9257294429708223,0.5129626372832311,0.4880636604774536
all_heartbeats,all,abs_v32_d_sigma,"(2.0, inf]",4004,2.979003713083836e-06,0.0004951861508836058,0.011094612628844128,0.06686397269371949,0.9887612387612388,0.5624697085268059,0.5571928071928072
all_heartbeats,validation,abs_v32_d_sigma,"(-0.001, 0.25]",876,-0.003157697719840563,-0.006715100866254042,0.24271617474902335,0.678120463845176,0.567351598173516,0.49695645953034673,0.4908675799086758
all_heartbeats,validation,abs_v32_d_sigma,"(0.25, 0.5]",588,-0.0018832425536572939,-0.004488723425991603,0.22101377222733576,0.633053620319025,0.6581632653061225,0.4857791567477919,0.5459183673469388
all_heartbeats,validation,abs_v32_d_sigma,"(0.5, 0.75]",403,-0.0010631618341988558,-0.003062985064600454,0.20749722698576126,0.6055080977184305,0.707196029776675,0.4555258739878013,0.4466501240694789
all_heartbeats,validation,abs_v32_d_sigma,"(0.75, 1.0]",255,-0.005841537976381345,-0.017001494398791006,0.12810425459545605,0.41623482980070087,0.8352941176470589,0.5267556474725709,0.4745098039215686
all_heartbeats,validation,abs_v32_d_sigma,"(1.0, 1.5]",420,-0.001266974626575712,-0.008679632287466932,0.06511838346877649,0.24920482115805842,0.9285714285714286,0.499454183319211,0.5071428571428571
all_heartbeats,validation,abs_v32_d_sigma,"(1.5, 2.0]",294,-0.00010335824711668606,-0.0010877002866097052,0.06436254961661338,0.25939402124639827,0.9319727891156463,0.49159872637273966,0.4523809523809524
all_heartbeats,validation,abs_v32_d_sigma,"(2.0, inf]",982,-2.8395707900107092e-05,-0.0011091708392964028,0.007939689779246141,0.0379958671080977,0.9918533604887984,0.6016537294828546,0.5936863543788188
all_heartbeats,holdout,abs_v32_d_sigma,"(-0.001, 0.25]",1051,0.0002703167145093055,0.0005323899748935768,0.24686012981779568,0.6868157304947199,0.5537583254043768,0.491864424195543,0.3967649857278782
all_heartbeats,holdout,abs_v32_d_sigma,"(0.25, 0.5]",624,-0.0019568519273297225,-0.004221939507711103,0.22123402671949685,0.634068363683092,0.6586538461538461,0.4847362830404906,0.38782051282051283
all_heartbeats,holdout,abs_v32_d_sigma,"(0.5, 0.75]",397,0.002110021752976421,0.0043919178481118815,0.1809443129082875,0.5482272951583411,0.7657430730478589,0.4709114837111623,0.45591939546599497
all_heartbeats,holdout,abs_v32_d_sigma,"(0.75, 1.0]",309,-0.00027556317578178446,-0.0012761687220341211,0.12003704594310487,0.40348529181273746,0.86084142394822,0.43934688769210045,0.36893203883495146
all_heartbeats,holdout,abs_v32_d_sigma,"(1.0, 1.5]",308,-0.001150676684632132,-0.006091053880659891,0.09180487216602257,0.3276661901467635,0.8961038961038961,0.39699842333536045,0.41883116883116883
