mode,split,model,family,blend_start_seconds,blend_end_seconds,posterior_temperature,side_rows,opportunities,brier,logloss,ece10,side_choice_wins,side_choice_accuracy
two_side_minute_bucket,validation,v35_h150_t102,v35_ref,0,0,1.02,1964,982,0.13718678034189316,0.4091543677366657,0.008921443131392821,768,0.7820773930753564
two_side_minute_bucket,holdout,v35_h150_t102,v35_ref,0,0,1.02,1956,978,0.15033780449665932,0.44616815796626436,0.01249000057488091,744,0.7607361963190185
two_side_minute_bucket,all,v36_s120_e300_t100,v36_piecewise,120,300,1.0,9796,4898,0.14883079877833796,0.4437198856244662,0.014383352536637164,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s120_e300_t100,v36_piecewise,120,300,1.0,5876,2938,0.15213306349836,0.45431761248689767,0.019950402821731276,2248,0.765146358066712
two_side_minute_bucket,validation,v36_s120_e300_t100,v36_piecewise,120,300,1.0,1964,982,0.13740622180578255,0.40966897731776564,0.010132114965282294,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s120_e300_t100,v36_piecewise,120,300,1.0,1956,978,0.15038180168183957,0.44607353637636427,0.01013878441684476,744,0.7607361963190185
two_side_minute_bucket,all,v36_s120_e300_t102,v36_piecewise,120,300,1.02,9796,4898,0.14888038705291967,0.44371365834042975,0.014195462617954588,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s120_e300_t102,v36_piecewise,120,300,1.02,5876,2938,0.15221432402790327,0.4543906082577207,0.019393404185389807,2248,0.765146358066712
two_side_minute_bucket,validation,v36_s120_e300_t102,v36_piecewise,120,300,1.02,1964,982,0.13736837088427822,0.40946215052819934,0.006678591616246593,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s120_e300_t102,v36_piecewise,120,300,1.02,1956,978,0.15042404047327154,0.4460307358604803,0.012017351830958246,744,0.7607361963190185
two_side_minute_bucket,all,v36_s120_e300_t104,v36_piecewise,120,300,1.04,9796,4898,0.14894072532704075,0.4437661867603772,0.01633790746371232,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s120_e300_t104,v36_piecewise,120,300,1.04,5876,2938,0.15230568640119055,0.4545192012156187,0.021561194679985362,2248,0.765146358066712
two_side_minute_bucket,validation,v36_s120_e300_t104,v36_piecewise,120,300,1.04,1964,982,0.13734367768424707,0.4093265222963012,0.007106840323933439,768,0.7820773930753564
two_side_minute_bucket,holdout,v36_s120_e300_t104,v36_piecewise,120,300,1.04,1956,978,0.15047655881310557,0.4460436857728755,0.01411178435552077,744,0.7607361963190185
two_side_minute_bucket,all,v36_s180_e450_t100,v36_piecewise,180,450,1.0,9796,4898,0.1489224569388055,0.4440209825973317,0.014998584186480262,3760,0.7676602694977542
two_side_minute_bucket,train,v36_s180_e450_t100,v36_piecewise,180,450,1.0,5876,2938,0.15222823292288507,0.45463445335892155,0.020083112816222597,2248,0.765146358066712
