source,market,side,reason,p_side,outcome,brier,bucket,actionable,edge_cents,ask_cents,seconds_to_close,sigma_t_dollars,recross_hazard_score,h6_recross_hazard_high,gross_cents,ask_prob,v28_minus_ask_prob,disagreement_bucket,book_brier,v28_brier,v28_brier_minus_book_brier
rejected_actionable,KXBTC15M-26MAY070715-15,no,p_below_floor,0.439565,0.0,0.19321738922499998,00_50,True,-10.043473,50,812.253,108.096317,0.8772318276222708,True,-100.0,0.5,-0.060435000000000016,v28_below_book,0.25,0.19321738922499998,-0.05678261077500002
rejected_actionable,KXBTC15M-26MAY070715-15,yes,p_below_floor,0.560435,1.0,0.19321738922499998,50_60,True,1.043473,51,812.253,108.096317,0.8772318276222708,True,98.0,0.51,0.05043500000000001,v28_plus_03_08,0.24009999999999998,0.19321738922499998,-0.046882610775
rejected_actionable,KXBTC15M-26MAY070715-15,yes,edge_below_floor,0.907021,1.0,0.008645094441000006,90_95,True,-2.297933,90,616.795,94.958623,0.26212705228795224,True,20.0,0.9,0.007020999999999944,near_book,0.009999999999999995,0.008645094441000006,-0.0013549055589999887
rejected_actionable,KXBTC15M-26MAY070715-15,yes,ask_too_high,0.907022,1.0,0.008644908484000001,90_95,True,-3.297802,91,616.763,94.95616,0.262106114632918,True,18.0,0.91,-0.002978000000000036,slightly_below_book,0.008099999999999994,0.008644908484000001,0.0005449084840000069
rejected_actionable,KXBTC15M-26MAY070730-30,no,p_below_floor,0.469222,1.0,0.281725285284,00_50,True,-12.077802,55,819.643,107.542515,0.9361206885177036,True,90.0,0.55,-0.08077800000000007,v28_below_book,0.20249999999999996,0.281725285284,0.07922528528400002
rejected_actionable,KXBTC15M-26MAY070730-30,no,ask_too_high,0.803971,1.0,0.038427368841,80_85,True,-20.102896,98,79.078,33.105866,0.04705892557725131,False,4.0,0.98,-0.176029,v28_below_book,0.0004000000000000007,0.038427368841,0.038027368841000005
rejected_actionable,KXBTC15M-26MAY070730-30,yes,p_below_floor,0.530778,0.0,0.281725285284,50_60,True,3.077802,46,819.643,107.542515,0.9361206885177036,True,-92.0,0.46,0.07077799999999995,v28_plus_03_08,0.2116,0.281725285284,0.07012528528399997
entry,KXBTC15M-26MAY070745-45,yes,approved_entry,0.903807,1.0,0.009253093248999995,90_95,True,18.380737,68,474.481,80.242802,0.1975936328082862,False,34.0,0.68,0.22380699999999998,v28_plus_15,0.10239999999999996,0.009253093248999995,-0.09314690675099997
rejected_actionable,KXBTC15M-26MAY070745-45,no,p_below_floor,0.439,0.0,0.192721,00_50,True,7.899971,32,744.721,101.683693,0.8123615365905321,True,-64.0,0.32,0.119,v28_plus_08_15,0.1024,0.192721,0.090321
rejected_actionable,KXBTC15M-26MAY070745-45,yes,p_below_floor,0.561,1.0,0.19272099999999995,50_60,True,-16.399971,69,744.721,101.683693,0.8123615365905321,True,62.0,0.69,-0.1289999999999999,v28_below_book,0.09610000000000003,0.19272099999999995,0.09662099999999992
rejected_actionable,KXBTC15M-26MAY070745-45,yes,ask_too_high,0.971789,1.0,0.0007958605209999992,95_100,True,-4.321127,99,235.515,56.562214,0.05367364931291956,False,2.0,0.99,-0.018210999999999977,slightly_below_book,0.00010000000000000018,0.0007958605209999992,0.0006958605209999991
rejected_actionable,KXBTC15M-26MAY070800-00,no,p_below_floor,0.463615,1.0,0.287708868225,00_50,True,-13.638461,56,771.226,101.288065,0.8654745987079465,True,88.0,0.56,-0.09638500000000005,v28_below_book,0.19359999999999997,0.287708868225,0.09410886822500006
rejected_actionable,KXBTC15M-26MAY070800-00,no,ask_too_high,0.570962,1.0,0.18407360544400003,50_60,True,-36.903809,91,610.015,89.924568,0.6289644082323266,True,18.0,0.91,-0.33903800000000006,v28_below_book,0.008099999999999994,0.18407360544400003,0.17597360544400004
rejected_actionable,KXBTC15M-26MAY070800-00,yes,p_below_floor,0.536385,0.0,0.287708868225,50_60,True,4.638461,45,771.226,101.288065,0.8654745987079465,True,-90.0,0.45,0.08638499999999999,v28_plus_08_15,0.2025,0.287708868225,0.08520886822500001
