dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive_net,coverage_pass,fade_selected
current,veto_signed_move_15m_le50_score0.8_sec300_fade100,15,13,13,1.0,9,4,0.6923076923076923,-12.0,-0.013157894736842105,False,True,0
v21,veto_signed_move_15m_le50_score0.8_sec300_fade100,0,20,19,0.95,16,3,0.8421052631578947,169.0,0.11809923130677848,True,True,0
v21,veto_signed_move_15m_le50_score0.8_sec300_fade100,1,20,20,1.0,12,8,0.6,-191.0,-0.13731128684399713,False,True,0
v21,veto_signed_move_15m_le50_score0.8_sec300_fade100,2,20,20,1.0,12,8,0.6,-265.0,-0.18088737201365188,False,True,0
v21,veto_signed_move_15m_le50_score0.8_sec300_fade100,3,20,20,1.0,14,6,0.7,-38.0,-0.02642559109874826,False,True,0
v21,veto_signed_move_15m_le50_score0.8_sec300_fade100,4,20,20,1.0,15,5,0.75,110.0,0.07913669064748201,True,True,0
v21,veto_signed_move_15m_le50_score0.8_sec300_fade100,5,20,20,1.0,14,6,0.7,3.0,0.0021474588403722263,True,True,0
v21,veto_signed_move_15m_le50_score0.8_sec300_fade100,6,20,20,1.0,18,2,0.9,372.0,0.2605042016806723,True,True,0
v21,veto_signed_move_15m_le50_score0.8_sec300_fade100,7,20,20,1.0,17,3,0.85,326.0,0.23726346433770015,True,True,0
v21,veto_signed_move_15m_le50_score0.8_sec300_fade100,8,20,20,1.0,11,9,0.55,-282.0,-0.2040520984081042,False,True,0
v21,veto_signed_move_15m_le50_score0.8_sec300_fade100,9,20,20,1.0,16,4,0.8,190.0,0.1347517730496454,True,True,0
v21,veto_signed_move_15m_le50_score0.8_sec300_fade100,10,20,19,0.95,14,5,0.7368421052631579,11.0,0.007919366450683946,True,True,0
v21,veto_signed_move_15m_le50_score0.8_sec300_fade100,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,0,20,20,1.0,10,10,0.5,-352.0,-0.2603550295857988,False,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,1,20,20,1.0,14,6,0.7,17.0,0.012292118582791034,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,2,20,19,0.95,14,5,0.7368421052631579,98.0,0.07526881720430108,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,3,20,20,1.0,18,2,0.9,412.0,0.2968299711815562,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,5,20,20,1.0,15,5,0.75,153.0,0.11358574610244988,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,6,20,20,1.0,16,4,0.8,208.0,0.14942528735632185,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,7,20,19,0.95,15,4,0.7894736842105263,180.0,0.13636363636363635,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,8,20,20,1.0,13,7,0.65,-52.0,-0.038461538461538464,False,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,9,20,19,0.95,15,4,0.7894736842105263,180.0,0.13636363636363635,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,10,20,20,1.0,12,8,0.6,-180.0,-0.13043478260869565,False,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,11,20,20,1.0,12,8,0.6,-195.0,-0.13978494623655913,False,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,12,20,20,1.0,15,5,0.75,125.0,0.09090909090909091,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,13,20,20,1.0,17,3,0.85,264.0,0.18384401114206128,True,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,14,20,20,1.0,12,8,0.6,-191.0,-0.13731128684399713,False,True,0
current,veto_signed_move_15m_le50_score0.8_sec600_fade100,15,13,13,1.0,9,4,0.6923076923076923,-12.0,-0.013157894736842105,False,True,0
v21,veto_signed_move_15m_le50_score0.8_sec600_fade100,0,20,19,0.95,16,3,0.8421052631578947,169.0,0.11809923130677848,True,True,0
v21,veto_signed_move_15m_le50_score0.8_sec600_fade100,1,20,20,1.0,12,8,0.6,-191.0,-0.13731128684399713,False,True,0
v21,veto_signed_move_15m_le50_score0.8_sec600_fade100,2,20,20,1.0,12,8,0.6,-243.0,-0.1683991683991684,False,True,0
v21,veto_signed_move_15m_le50_score0.8_sec600_fade100,3,20,20,1.0,13,7,0.65,-135.0,-0.09407665505226481,False,True,0
v21,veto_signed_move_15m_le50_score0.8_sec600_fade100,4,20,20,1.0,15,5,0.75,115.0,0.08303249097472924,True,True,0
v21,veto_signed_move_15m_le50_score0.8_sec600_fade100,5,20,20,1.0,14,6,0.7,8.0,0.005747126436781609,True,True,0
v21,veto_signed_move_15m_le50_score0.8_sec600_fade100,6,20,20,1.0,18,2,0.9,372.0,0.2605042016806723,True,True,0
v21,veto_signed_move_15m_le50_score0.8_sec600_fade100,7,20,20,1.0,17,3,0.85,326.0,0.23726346433770015,True,True,0
v21,veto_signed_move_15m_le50_score0.8_sec600_fade100,8,20,20,1.0,12,8,0.6,-165.0,-0.12087912087912088,False,True,0
v21,veto_signed_move_15m_le50_score0.8_sec600_fade100,9,20,20,1.0,16,4,0.8,190.0,0.1347517730496454,True,True,0
v21,veto_signed_move_15m_le50_score0.8_sec600_fade100,10,20,19,0.95,14,5,0.7368421052631579,34.0,0.024890190336749635,True,True,0
v21,veto_signed_move_15m_le50_score0.8_sec600_fade100,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,True,True,0
current,veto_signed_move_15m_le100_score0.65_sec300_fade100,0,20,20,1.0,11,9,0.55,-227.0,-0.1710625470987189,False,True,0
current,veto_signed_move_15m_le100_score0.65_sec300_fade100,1,20,20,1.0,14,6,0.7,55.0,0.040892193308550186,True,True,0
current,veto_signed_move_15m_le100_score0.65_sec300_fade100,2,20,20,1.0,15,5,0.75,132.0,0.09649122807017543,True,True,0
current,veto_signed_move_15m_le100_score0.65_sec300_fade100,3,20,20,1.0,17,3,0.85,354.0,0.26300148588410105,True,True,0
current,veto_signed_move_15m_le100_score0.65_sec300_fade100,4,20,20,1.0,12,8,0.6,-117.0,-0.0888382687927107,False,True,0
current,veto_signed_move_15m_le100_score0.65_sec300_fade100,5,20,20,1.0,12,8,0.6,-136.0,-0.10179640718562874,False,True,0
current,veto_signed_move_15m_le100_score0.65_sec300_fade100,6,20,20,1.0,16,4,0.8,207.0,0.14860014357501794,True,True,0
current,veto_signed_move_15m_le100_score0.65_sec300_fade100,7,20,19,0.95,16,3,0.8421052631578947,297.0,0.22793553338449732,True,True,0
current,veto_signed_move_15m_le100_score0.65_sec300_fade100,8,20,20,1.0,14,6,0.7,66.0,0.049475262368815595,True,True,0
current,veto_signed_move_15m_le100_score0.65_sec300_fade100,9,20,19,0.95,15,4,0.7894736842105263,200.0,0.15384615384615385,True,True,0
current,veto_signed_move_15m_le100_score0.65_sec300_fade100,10,20,20,1.0,12,8,0.6,-164.0,-0.12023460410557185,False,True,0
