dataset,policy,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,score_min60_gap020,entry_hour_utc,7,12,10,2,0.8333333333333334,164.0,13.666666666666666,65.5
current,score_min60_gap020,entry_hour_utc,8,12,5,7,0.4166666666666667,-348.0,-29.0,69.0
current,score_min60_gap020,entry_hour_utc,9,12,7,5,0.5833333333333334,-169.0,-14.083333333333334,69.0
current,score_min60_gap020,ask_bucket,ask<=65,87,62,25,0.7126436781609196,557.0,6.402298850574713,63.0
current,score_min60_gap020,ask_bucket,ask<=75,142,110,32,0.7746478873239436,780.0,5.492957746478873,69.0
current,score_min60_gap020,ask_bucket,ask<=85,43,36,7,0.8372093023255814,112.0,2.604651162790698,79.0
current,score_min60_gap020,ask_bucket,ask<=95,4,4,0,1.0,36.0,9.0,90.0
current,score_min60_gap020,time_bucket,sec<=300,4,3,1,0.75,-10.0,-2.5,74.0
current,score_min60_gap020,time_bucket,sec<=600,46,35,11,0.7608695652173914,149.0,3.239130434782609,71.0
current,score_min60_gap020,time_bucket,sec<=900,226,174,52,0.7699115044247787,1346.0,5.95575221238938,68.0
current,v2_wait_score_min60_early,split,holdout,57,42,15,0.7368421052631579,25.0,0.43859649122807015,69.0
current,v2_wait_score_min60_early,split,train,166,123,43,0.7409638554216867,545.0,3.283132530120482,68.0
current,v2_wait_score_min60_early,split,validation,55,47,8,0.8545454545454545,767.0,13.945454545454545,69.0
current,v2_wait_score_min60_early,side,no,136,103,33,0.7573529411764706,590.0,4.338235294117647,69.0
current,v2_wait_score_min60_early,side,yes,142,109,33,0.7676056338028169,747.0,5.26056338028169,68.0
current,v2_wait_score_min60_early,entry_hour_utc,0,9,6,3,0.6666666666666666,-39.0,-4.333333333333333,69.0
current,v2_wait_score_min60_early,entry_hour_utc,1,8,7,1,0.875,115.0,14.375,68.5
current,v2_wait_score_min60_early,entry_hour_utc,10,12,11,1,0.9166666666666666,233.0,19.416666666666668,69.0
current,v2_wait_score_min60_early,entry_hour_utc,11,12,9,3,0.75,21.0,1.75,70.5
current,v2_wait_score_min60_early,entry_hour_utc,12,12,11,1,0.9166666666666666,231.0,19.25,69.0
current,v2_wait_score_min60_early,entry_hour_utc,13,12,8,4,0.6666666666666666,-67.0,-5.583333333333333,66.5
current,v2_wait_score_min60_early,entry_hour_utc,14,11,8,3,0.7272727272727273,9.0,0.8181818181818182,67.0
current,v2_wait_score_min60_early,entry_hour_utc,15,11,8,3,0.7272727272727273,18.0,1.6363636363636365,68.0
current,v2_wait_score_min60_early,entry_hour_utc,16,8,5,3,0.625,-69.0,-8.625,68.0
current,v2_wait_score_min60_early,entry_hour_utc,17,12,8,4,0.6666666666666666,-50.0,-4.166666666666667,69.0
current,v2_wait_score_min60_early,entry_hour_utc,18,12,10,2,0.8333333333333334,117.0,9.75,72.5
current,v2_wait_score_min60_early,entry_hour_utc,19,12,11,1,0.9166666666666666,246.0,20.5,68.5
current,v2_wait_score_min60_early,entry_hour_utc,2,14,9,5,0.6428571428571429,-84.0,-6.0,67.5
current,v2_wait_score_min60_early,entry_hour_utc,20,12,10,2,0.8333333333333334,151.0,12.583333333333334,69.0
current,v2_wait_score_min60_early,entry_hour_utc,21,12,10,2,0.8333333333333334,102.0,8.5,73.0
current,v2_wait_score_min60_early,entry_hour_utc,22,12,9,3,0.75,45.0,3.75,67.5
current,v2_wait_score_min60_early,entry_hour_utc,23,12,11,1,0.9166666666666666,280.0,23.333333333333332,64.5
current,v2_wait_score_min60_early,entry_hour_utc,3,13,8,5,0.6153846153846154,-127.0,-9.76923076923077,71.0
current,v2_wait_score_min60_early,entry_hour_utc,4,12,10,2,0.8333333333333334,127.0,10.583333333333334,72.0
current,v2_wait_score_min60_early,entry_hour_utc,5,12,10,2,0.8333333333333334,160.0,13.333333333333334,67.5
current,v2_wait_score_min60_early,entry_hour_utc,6,12,11,1,0.9166666666666666,271.0,22.583333333333332,66.5
current,v2_wait_score_min60_early,entry_hour_utc,7,12,10,2,0.8333333333333334,164.0,13.666666666666666,65.5
current,v2_wait_score_min60_early,entry_hour_utc,8,12,5,7,0.4166666666666667,-348.0,-29.0,69.0
current,v2_wait_score_min60_early,entry_hour_utc,9,12,7,5,0.5833333333333334,-169.0,-14.083333333333334,69.0
current,v2_wait_score_min60_early,ask_bucket,ask<=55,1,1,0,1.0,49.0,49.0,49.0
current,v2_wait_score_min60_early,ask_bucket,ask<=65,87,62,25,0.7126436781609196,557.0,6.402298850574713,63.0
current,v2_wait_score_min60_early,ask_bucket,ask<=75,141,109,32,0.7730496453900709,750.0,5.319148936170213,69.0
current,v2_wait_score_min60_early,ask_bucket,ask<=85,45,36,9,0.8,-55.0,-1.2222222222222223,79.0
current,v2_wait_score_min60_early,ask_bucket,ask<=95,4,4,0,1.0,36.0,9.0,90.0
current,v2_wait_score_min60_early,time_bucket,sec<=300,4,3,1,0.75,-10.0,-2.5,74.0
current,v2_wait_score_min60_early,time_bucket,sec<=600,47,35,12,0.7446808510638298,85.0,1.8085106382978724,71.0
current,v2_wait_score_min60_early,time_bucket,sec<=900,227,174,53,0.7665198237885462,1262.0,5.559471365638767,68.0
current,v2_wait_score_min60_brownian70_early,split,holdout,57,41,16,0.7192982456140351,-52.0,-0.9122807017543859,69.0
current,v2_wait_score_min60_brownian70_early,split,train,166,124,42,0.7469879518072289,695.0,4.186746987951807,68.0
current,v2_wait_score_min60_brownian70_early,split,validation,55,47,8,0.8545454545454545,767.0,13.945454545454545,69.0
current,v2_wait_score_min60_brownian70_early,side,no,138,104,34,0.7536231884057971,591.0,4.282608695652174,69.0
current,v2_wait_score_min60_brownian70_early,side,yes,140,108,32,0.7714285714285715,819.0,5.85,68.0
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,0,9,6,3,0.6666666666666666,-39.0,-4.333333333333333,69.0
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,1,8,7,1,0.875,115.0,14.375,68.5
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,10,12,11,1,0.9166666666666666,239.0,19.916666666666668,69.0
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,11,12,9,3,0.75,21.0,1.75,70.5
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,12,12,11,1,0.9166666666666666,231.0,19.25,69.0
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,13,12,8,4,0.6666666666666666,-67.0,-5.583333333333333,66.5
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,14,11,8,3,0.7272727272727273,9.0,0.8181818181818182,67.0
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,15,11,8,3,0.7272727272727273,18.0,1.6363636363636365,68.0
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,16,8,5,3,0.625,-69.0,-8.625,68.0
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,17,12,9,3,0.75,64.0,5.333333333333333,69.0
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,18,12,9,3,0.75,40.0,3.3333333333333335,71.0
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,19,12,11,1,0.9166666666666666,246.0,20.5,68.5
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,2,14,9,5,0.6428571428571429,-84.0,-6.0,67.5
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,20,12,9,3,0.75,68.0,5.666666666666667,67.0
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,21,12,10,2,0.8333333333333334,102.0,8.5,73.0
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,22,12,9,3,0.75,45.0,3.75,67.5
current,v2_wait_score_min60_brownian70_early,entry_hour_utc,23,12,11,1,0.9166666666666666,280.0,23.333333333333332,64.5
