model,min_edge_cents,cost_cents,split,resolved_markets,selected_markets,coverage,gross_net_cents,cost_total_cents,net_after_cost_cents,roi_after_cost
book_time_v32drift85,2.25,0.0,all,330,269,0.8151515151515152,562.0,0.0,562.0,0.034189074096605425
book_time_v32drift85,2.25,0.0,train,198,156,0.7878787878787878,559.0,0.0,559.0,0.058589246410229535
book_time_v32drift85,2.25,0.0,validation,66,52,0.7878787878787878,37.0,0.0,37.0,0.011697755295605438
book_time_v32drift85,2.25,0.0,holdout,66,61,0.9242424242424242,-34.0,0.0,-34.0,-0.009105516871987145
book_time_v32drift85,2.25,0.5,all,330,269,0.8151515151515152,562.0,134.5,427.5,0.025795745964700557
book_time_v32drift85,2.25,0.5,train,198,156,0.7878787878787878,559.0,78.0,481.0,0.05000519804553488
book_time_v32drift85,2.25,0.5,validation,66,52,0.7878787878787878,37.0,26.0,11.0,0.003449357165255566
book_time_v32drift85,2.25,0.5,holdout,66,61,0.9242424242424242,-34.0,30.5,-64.5,-0.017133749501925886
book_time_v32drift85,2.25,1.0,all,330,269,0.8151515151515152,562.0,269.0,293.0,0.017537559106961153
book_time_v32drift85,2.25,1.0,train,198,156,0.7878787878787878,559.0,156.0,403.0,0.04155924512735898
book_time_v32drift85,2.25,1.0,validation,66,52,0.7878787878787878,37.0,52.0,-15.0,-0.004665629860031105
book_time_v32drift85,2.25,1.0,holdout,66,61,0.9242424242424242,-34.0,61.0,-95.0,-0.025032938076416336
book_time_v32drift85,2.25,1.5,all,330,269,0.8151515151515152,562.0,403.5,158.5,0.009411275717721105
book_time_v32drift85,2.25,1.5,train,198,156,0.7878787878787878,559.0,234.0,325.0,0.03324808184143223
book_time_v32drift85,2.25,1.5,validation,66,52,0.7878787878787878,37.0,78.0,-41.0,-0.012650416538105523
book_time_v32drift85,2.25,1.5,holdout,66,61,0.9242424242424242,-34.0,91.5,-125.5,-0.032806169128218536
book_time_v32drift85,2.25,2.0,all,330,269,0.8151515151515152,562.0,538.0,24.0,0.001413760603204524
book_time_v32drift85,2.25,2.0,train,198,156,0.7878787878787878,559.0,312.0,247.0,0.02506850705368923
book_time_v32drift85,2.25,2.0,validation,66,52,0.7878787878787878,37.0,104.0,-67.0,-0.020508111417202327
book_time_v32drift85,2.25,2.0,holdout,66,61,0.9242424242424242,-34.0,122.0,-156.0,-0.04045643153526971
book_time_v32drift85,2.25,3.0,all,330,269,0.8151515151515152,562.0,807.0,-245.0,-0.014207016526529429
book_time_v32drift85,2.25,3.0,train,198,156,0.7878787878787878,559.0,468.0,91.0,0.009091817364372066
book_time_v32drift85,2.25,3.0,validation,66,52,0.7878787878787878,37.0,156.0,-119.0,-0.035854172943657725
book_time_v32drift85,2.25,3.0,holdout,66,61,0.9242424242424242,-34.0,183.0,-217.0,-0.05539954046464131
