dataset,candidate,block_index,block_start_close_dt,block_end_close_dt,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
v21,brownian70_sec60,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,18,0.9,17,1,0.9444444444444444,210.0,0.14093959731543623,81.0,True,True
v21,brownian70_sec60,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,1,1.0,1,0,1.0,18.0,0.21951219512195122,80.0,True,True
v21,brownian70_ask90_sec120,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,18,0.9,17,1,0.9444444444444444,332.0,0.24269005847953215,75.5,True,True
v21,brownian70_ask90_sec120,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,20,1.0,13,7,0.65,-220.0,-0.14473684210526316,75.0,False,True
v21,brownian70_ask90_sec120,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,20,1.0,12,8,0.6,-368.0,-0.23469387755102042,77.0,False,True
v21,brownian70_ask90_sec120,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,18,0.9,13,5,0.7222222222222222,-89.0,-0.06407487401007919,75.5,False,True
v21,brownian70_ask90_sec120,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,19,0.95,14,5,0.7368421052631579,-86.0,-0.05787348586810229,79.0,False,True
v21,brownian70_ask90_sec120,5,2026-05-01 10:30:00+00:00,2026-05-01 15:15:00+00:00,20,18,0.9,15,3,0.8333333333333334,87.0,0.06157112526539278,75.5,True,True
v21,brownian70_ask90_sec120,6,2026-05-01 15:30:00+00:00,2026-05-01 20:30:00+00:00,20,18,0.9,16,2,0.8888888888888888,158.0,0.10957004160887657,77.0,True,True
v21,brownian70_ask90_sec120,7,2026-05-01 20:45:00+00:00,2026-05-02 01:30:00+00:00,20,19,0.95,17,2,0.8947368421052632,182.0,0.11989459815546773,79.0,True,True
v21,brownian70_ask90_sec120,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,19,0.95,14,5,0.7368421052631579,-154.0,-0.0990990990990991,79.0,False,True
v21,brownian70_ask90_sec120,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,19,0.95,15,4,0.7894736842105263,23.0,0.015572105619498984,76.0,True,True
v21,brownian70_ask90_sec120,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,16,0.8,15,1,0.9375,197.0,0.15118956254796623,80.5,True,True
v21,brownian70_ask90_sec120,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,1,1.0,1,0,1.0,18.0,0.21951219512195122,80.0,True,True
v21,score_min60_lock_equiv,0,2026-04-30 04:45:00+00:00,2026-04-30 13:45:00+00:00,20,19,0.95,17,2,0.8947368421052632,302.0,0.21602288984263232,70.0,True,True
v21,score_min60_lock_equiv,1,2026-04-30 14:00:00+00:00,2026-04-30 18:45:00+00:00,20,20,1.0,12,8,0.6,-214.0,-0.15134370579915135,66.0,False,True
v21,score_min60_lock_equiv,2,2026-04-30 19:00:00+00:00,2026-04-30 23:45:00+00:00,20,20,1.0,13,7,0.65,-130.0,-0.09090909090909091,68.0,False,True
v21,score_min60_lock_equiv,3,2026-05-01 00:00:00+00:00,2026-05-01 05:00:00+00:00,20,20,1.0,12,8,0.6,-228.0,-0.15966386554621848,71.0,False,True
v21,score_min60_lock_equiv,4,2026-05-01 05:15:00+00:00,2026-05-01 10:15:00+00:00,20,19,0.95,14,5,0.7368421052631579,107.0,0.08275328692962104,65.0,True,True
v21,score_min60_lock_equiv,5,2026-05-01 10:30:00+00:00,2026-05-01 15:15:00+00:00,20,20,1.0,15,5,0.75,93.0,0.06609808102345416,68.0,True,True
v21,score_min60_lock_equiv,6,2026-05-01 15:30:00+00:00,2026-05-01 20:30:00+00:00,20,20,1.0,17,3,0.85,267.0,0.18632240055826937,68.0,True,True
v21,score_min60_lock_equiv,7,2026-05-01 20:45:00+00:00,2026-05-02 01:30:00+00:00,20,20,1.0,17,3,0.85,288.0,0.20396600566572237,67.0,True,True
v21,score_min60_lock_equiv,8,2026-05-02 01:45:00+00:00,2026-05-02 06:30:00+00:00,20,20,1.0,12,8,0.6,-193.0,-0.13854989231873654,65.0,False,True
v21,score_min60_lock_equiv,9,2026-05-02 06:45:00+00:00,2026-05-02 11:30:00+00:00,20,20,1.0,16,4,0.8,120.0,0.08108108108108109,70.0,True,True
v21,score_min60_lock_equiv,10,2026-05-02 11:45:00+00:00,2026-05-02 17:00:00+00:00,20,19,0.95,15,4,0.7894736842105263,85.0,0.06007067137809187,71.0,True,True
v21,score_min60_lock_equiv,11,2026-05-02 17:15:00+00:00,2026-05-02 17:15:00+00:00,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,61.0,True,True
