source,market,side,reason,p_side,outcome,brier,bucket,actionable,edge_cents,ask_cents,seconds_to_close,sigma_t_dollars,recross_hazard_score,h6_recross_hazard_high,gross_cents
entry,KXBTC15M-26MAY051830-30,no,approved_entry,0.865344,0.0,0.748820238336,85_90,True,3.034397,80,396.139,69.953296,0.18481237302914516,False,-92
rejected_actionable,KXBTC15M-26MAY051830-30,no,p_below_floor,0.41876,0.0,0.17535993760000002,00_50,True,-31.623991,70,779.531,100.102356,0.777444424872164,True,-140
rejected_actionable,KXBTC15M-26MAY051830-30,yes,p_below_floor,0.58124,1.0,0.17535993760000002,50_60,True,23.623991,31,779.531,100.102356,0.777444424872164,True,138
rejected_actionable,KXBTC15M-26MAY051830-30,yes,ask_too_high,0.577063,1.0,0.17887570596900002,50_60,True,-37.29371,92,180.115,47.259109,0.1756831164726499,False,16
entry,KXBTC15M-26MAY051845-45,no,approved_entry,0.864024,1.0,0.018489472575999998,85_90,True,3.902414,79,854.974,103.506064,0.4162522477382457,True,42
rejected_actionable,KXBTC15M-26MAY051845-45,no,ask_too_high,0.991853,1.0,6.637360900000025e-05,95_100,True,0.685332,96,706.021,96.716481,0.07587634871051191,False,8
rejected_actionable,KXBTC15M-26MAY051845-45,yes,p_below_floor,0.135976,0.0,0.018489472576000004,00_50,True,-11.902414,22,854.974,103.506064,0.4162522477382457,True,-44
entry,KXBTC15M-26MAY051900-00,yes,approved_entry,0.876273,1.0,0.015308370529000007,85_90,True,4.127337,80,570.274,99.512422,0.3021213220864653,True,40
rejected_actionable,KXBTC15M-26MAY051900-00,no,p_below_floor,0.453839,0.0,0.205969837921,00_50,True,-2.616129,44,871.072,121.518513,1.1552634028791224,True,-88
rejected_actionable,KXBTC15M-26MAY051900-00,yes,p_below_floor,0.546161,1.0,0.205969837921,50_60,True,-7.383871,58,871.072,121.518513,1.1552634028791224,True,84
rejected_actionable,KXBTC15M-26MAY051900-00,yes,ask_too_high,0.99894,1.0,1.1235999999998938e-06,95_100,True,1.394001,96,450.211,89.18002,0.020542191964504856,False,8
entry,KXBTC15M-26MAY051915-15,yes,approved_entry,0.880213,1.0,0.014348925368999994,85_90,True,2.521344,82,258.016,78.24006,0.15500111387451665,False,34
rejected_actionable,KXBTC15M-26MAY051915-15,no,p_below_floor,0.466733,0.0,0.21783969328900002,00_50,True,-18.3267,61,733.827,133.274292,1.0843247420890139,True,-122
rejected_actionable,KXBTC15M-26MAY051915-15,yes,p_below_floor,0.533267,1.0,0.21783969328899996,50_60,True,9.3267,40,733.827,133.274292,1.0843247420890139,True,120
rejected_actionable,KXBTC15M-26MAY051915-15,yes,ask_too_high,0.968083,1.0,0.0010186948889999983,95_100,True,-4.691709,99,114.469,51.252034,0.03174483510847871,False,2
rejected_actionable,KXBTC15M-26MAY051930-30,no,p_below_floor,0.515897,1.0,0.23435571460899995,50_60,True,-9.410297,57,868.374,136.495402,1.309018487420359,True,86
rejected_actionable,KXBTC15M-26MAY051930-30,no,ask_too_high,0.871229,1.0,0.01658197044099999,85_90,True,-9.377067,94,463.653,95.489671,0.26519012185552593,True,12
rejected_actionable,KXBTC15M-26MAY051930-30,yes,p_below_floor,0.484103,0.0,0.234355714609,00_50,True,0.410297,44,868.374,136.495402,1.309018487420359,True,-88
entry,KXBTC15M-26MAY051945-45,yes,approved_entry,0.870179,1.0,0.01685349204099999,85_90,True,9.517919,74,124.019,42.10812,0.060671416989530894,False,26
rejected_actionable,KXBTC15M-26MAY051945-45,no,p_below_floor,0.483063,0.0,0.233349861969,00_50,True,4.306264,40,787.798,108.477095,0.9869462815304679,True,-80
rejected_actionable,KXBTC15M-26MAY051945-45,no,edge_below_floor,0.858829,0.0,0.7375872512409999,85_90,True,-1.11708,84,299.451,65.380919,0.15047900426253782,False,-168
rejected_actionable,KXBTC15M-26MAY051945-45,no,ask_too_high,0.731141,0.0,0.5345671618810001,70_80,True,-22.385931,93,175.489,50.047737,0.12713902626604148,False,-186
rejected_actionable,KXBTC15M-26MAY051945-45,yes,p_below_floor,0.516937,1.0,0.233349861969,50_60,True,-13.306264,61,787.798,108.477095,0.9869462815304679,True,39
rejected_actionable,KXBTC15M-26MAY052000-00,no,p_below_floor,0.515296,1.0,0.23493796761600003,50_60,True,-11.470432,59,739.91,103.365665,0.9049718487756173,True,82
rejected_actionable,KXBTC15M-26MAY052000-00,yes,p_below_floor,0.484704,0.0,0.23493796761600003,00_50,True,1.470432,43,739.91,103.365665,0.9049718487756173,True,-86
entry,KXBTC15M-26MAY052015-15,yes,approved_entry,0.91064,1.0,0.0079852096,90_95,True,3.064008,85,688.041,100.603062,0.28190119029157684,True,30
rejected_actionable,KXBTC15M-26MAY052015-15,no,p_below_floor,0.567861,0.0,0.32246611532099995,50_60,True,3.786057,49,873.05,111.598841,0.945708885728407,True,-98
rejected_actionable,KXBTC15M-26MAY052015-15,yes,p_below_floor,0.432139,1.0,0.32246611532099995,00_50,True,-12.786057,52,873.05,111.598841,0.945708885728407,True,96
rejected_actionable,KXBTC15M-26MAY052015-15,yes,ask_too_high,0.967084,1.0,0.0010834630559999963,95_100,True,-1.791643,96,400.038,79.185245,0.09477119032880675,False,8
rejected_actionable,KXBTC15M-26MAY052030-30,no,p_below_floor,0.45922,1.0,0.29244300840000004,00_50,True,-12.078031,54,879.629,123.126819,1.0532371475786535,True,92
rejected_actionable,KXBTC15M-26MAY052030-30,no,ask_too_high,0.784562,1.0,0.04641353184400001,70_80,True,-15.543756,91,533.223,96.670496,0.3812284570519657,True,18
rejected_actionable,KXBTC15M-26MAY052030-30,yes,p_below_floor,0.54078,0.0,0.29244300840000004,50_60,True,3.078031,47,879.629,123.126819,1.0532371475786535,True,-94
entry,KXBTC15M-26MAY052045-45,yes,approved_entry,0.851889,0.0,0.725714868321,85_90,True,2.688928,79,505.239,92.589796,0.2917497589224879,True,-18
entry,KXBTC15M-26MAY052045-45,yes,approved_entry,0.904488,0.0,0.8180985421439999,90_95,True,4.448812,83,144.381,49.138435,0.06396205708883733,False,14
rejected_actionable,KXBTC15M-26MAY052045-45,no,p_below_floor,0.48692,1.0,0.2632510864,00_50,True,-3.307989,48,808.293,121.282836,1.1214797808527674,True,104
rejected_actionable,KXBTC15M-26MAY052045-45,yes,p_below_floor,0.51308,0.0,0.2632510864,50_60,True,-5.692011,53,808.293,121.282836,1.1214797808527674,True,-106
rejected_actionable,KXBTC15M-26MAY052045-45,yes,edge_below_floor,0.851826,0.0,0.725607534276,85_90,True,-0.317353,82,506.024,92.661667,0.29239938692035955,True,-164
rejected_actionable,KXBTC15M-26MAY052045-45,yes,ask_too_high,0.840741,0.0,0.7068454290809999,80_85,True,-9.925894,91,86.317,38.034473,0.05198482905113435,False,-182
entry,KXBTC15M-26MAY052100-00,no,approved_entry,0.852877,0.0,0.727399177129,85_90,True,2.787743,79,676.704,103.226027,0.3666540312599931,True,-30
entry,KXBTC15M-26MAY052100-00,yes,approved_entry,0.856314,1.0,0.020645666595999996,85_90,True,25.631386,56,434.448,85.754495,0.2414159418683516,False,34
entry,KXBTC15M-26MAY052100-00,yes,approved_entry,0.951629,1.0,0.002339753641000005,95_100,True,2.162887,90,329.402,74.611634,0.0981953245588825,False,12
rejected_actionable,KXBTC15M-26MAY052100-00,no,p_below_floor,0.434446,0.0,0.188743326916,00_50,True,-15.555373,55,808.178,112.90117,0.9155195434941771,True,-110
rejected_actionable,KXBTC15M-26MAY052100-00,yes,p_below_floor,0.565554,1.0,0.188743326916,50_60,True,6.555373,46,808.178,112.90117,0.9155195434941771,True,108
rejected_actionable,KXBTC15M-26MAY052100-00,yes,edge_below_floor,0.852007,1.0,0.021901928049000013,85_90,True,-0.299262,82,366.315,78.608208,0.20818781776422343,False,36
rejected_actionable,KXBTC15M-26MAY052100-00,yes,ask_too_high,0.986737,1.0,0.00017590716900000065,95_100,True,-1.82628,98,195.147,57.183391,0.028984197300163626,False,4
entry,KXBTC15M-26MAY052115-15,yes,approved_entry,0.941543,1.0,0.003417220848999998,90_95,True,12.654292,78,639.45,103.054901,0.21507757842206168,False,44
rejected_actionable,KXBTC15M-26MAY052115-15,no,p_below_floor,0.428524,0.0,0.183632818576,00_50,True,-9.147567,48,850.512,118.243045,0.9450767881068326,True,-96
rejected_actionable,KXBTC15M-26MAY052115-15,yes,p_below_floor,0.571476,1.0,0.183632818576,50_60,True,0.147567,53,850.512,118.243045,0.9450767881068326,True,94
rejected_actionable,KXBTC15M-26MAY052115-15,yes,edge_below_floor,0.938697,1.0,0.0037580578089999993,90_95,True,1.869704,89,493.3,90.421506,0.1711591118938076,False,22
rejected_actionable,KXBTC15M-26MAY052115-15,yes,ask_too_high,0.962311,1.0,0.001420460720999998,95_100,True,-2.26888,96,338.363,74.536557,0.08712074728134458,False,8
rejected_actionable,KXBTC15M-26MAY052130-30,no,p_below_floor,0.440556,0.0,0.194089589136,00_50,True,11.555621,29,778.562,112.04154,0.882215820870878,True,-58
rejected_actionable,KXBTC15M-26MAY052130-30,yes,p_below_floor,0.559444,1.0,0.19408958913599994,50_60,True,-19.555621,72,778.562,112.04154,0.882215820870878,True,56
rejected_actionable,KXBTC15M-26MAY052130-30,yes,edge_below_floor,0.890161,1.0,0.012064605921000005,85_90,True,-1.98392,88,708.796,106.834099,0.3308290391443075,True,24
rejected_actionable,KXBTC15M-26MAY052130-30,yes,ask_too_high,0.898583,1.0,0.010285407888999995,85_90,True,-5.141666,92,708.56,106.821368,0.3190462458208289,True,16
entry,KXBTC15M-26MAY052145-45,yes,approved_entry,0.93473,1.0,0.004260172900000006,90_95,True,5.473022,85,579.455,97.221032,0.20704926938576498,False,20
