market,entry_dt,side,split_base,outcome_base,win_base,entry_ask_cents_base,entry_p_side_base,entry_seconds_to_close_base,exit_type_base,exit_dt_base,exit_bid_cents_base,exit_p_side_base,settled_base,fee_1c_cents_base,split_asym,outcome_asym,win_asym,entry_ask_cents_asym,entry_p_side_asym,entry_seconds_to_close_asym,exit_type_asym,exit_dt_asym,exit_bid_cents_asym,exit_p_side_asym,settled_asym,fee_1c_cents_asym,delta_fee_1c_cents,abs_delta_fee_1c_cents
KXBTC15M-26MAY012215-15,2026-05-02 02:09:53.247000+00:00,yes,train,no,False,36.0,0.8412777184833543,306.753,probability_reduce,2026-05-02 02:10:08.301000+00:00,34.0,0.386705344231208,False,-14.0,train,no,False,36.0,0.8412777184833543,306.753,probability_reduce,2026-05-02 02:10:08.301000+00:00,34.0,0.386705344231208,False,-14.0,0.0,0.0
KXBTC15M-26MAY012230-30,2026-05-02 02:20:23.928000+00:00,yes,train,no,False,59.0,0.6674610171050037,576.072,probability_reduce,2026-05-02 02:25:09.302000+00:00,47.0,0.4769846431408528,False,-34.0,train,no,False,59.0,0.6674610171050037,576.072,probability_reduce,2026-05-02 02:25:09.302000+00:00,47.0,0.4769846431408528,False,-34.0,0.0,0.0
KXBTC15M-26MAY012245-45,2026-05-02 02:37:25.568000+00:00,yes,train,yes,True,88.0,0.8821577809127148,454.432,settlement_win,,,,True,20.0,train,yes,True,88.0,0.8821577809127148,454.432,settlement_win,,,,True,20.0,0.0,0.0
KXBTC15M-26MAY012315-15,2026-05-02 03:11:13.578000+00:00,no,train,no,True,99.0,0.995802141876227,226.422,settlement_win,,,,True,-1.0,train,no,True,99.0,0.995802141876227,226.422,settlement_win,,,,True,-1.0,0.0,0.0
KXBTC15M-26MAY012330-30,2026-05-02 03:21:14.397000+00:00,yes,train,yes,True,64.0,0.652151433215722,525.603,settlement_win,,,,True,66.0,train,yes,True,64.0,0.652151433215722,525.603,settlement_win,,,,True,66.0,0.0,0.0
KXBTC15M-26MAY012345-45,2026-05-02 03:36:00.852000+00:00,yes,train,yes,True,92.0,0.9395614762873956,539.148,settlement_win,,,,True,12.0,train,yes,True,92.0,0.9395614762873956,539.148,settlement_win,,,,True,12.0,0.0,0.0
KXBTC15M-26MAY020000-00,2026-05-02 03:59:18.137000+00:00,yes,train,yes,True,99.0,0.999999,41.863,settlement_win,,,,True,-1.0,train,yes,True,99.0,0.999999,41.863,settlement_win,,,,True,-1.0,0.0,0.0
KXBTC15M-26MAY011500-00,2026-05-01 18:50:11.475000+00:00,yes,train,no,False,73.0,0.737251075204341,588.525,probability_reduce,2026-05-01 18:54:11.786000+00:00,47.0,0.516278648760333,False,-61.0,train,no,False,73.0,0.737251075204341,588.525,probability_reduce,2026-05-01 18:54:11.786000+00:00,47.0,0.516278648760333,False,-61.0,0.0,0.0
KXBTC15M-26MAY011515-15,2026-05-01 19:10:13.279000+00:00,yes,train,yes,True,90.0,0.9320485014691612,286.721,settlement_win,,,,True,16.0,train,yes,True,90.0,0.9320485014691612,286.721,settlement_win,,,,True,16.0,0.0,0.0
KXBTC15M-26MAY011530-30,2026-05-01 19:23:29.192000+00:00,no,train,no,True,91.0,0.9277527376550891,390.808,settlement_win,,,,True,14.0,train,no,True,91.0,0.9277527376550891,390.808,settlement_win,,,,True,14.0,0.0,0.0
