model,split,bin,rows,mean_pred,realized,error
v28_avg30,holdout,"[0.950,0.975]",49,0.9642097859040621,0.9591836734693877,0.005026112434674435
v28_avg30,holdout,"[0.975,1.000]",179,0.994013459122163,0.994413407821229,-0.0003999486990660106
v28_avg45,all,"[0.500,0.550]",846,0.5246506807050397,0.5271867612293144,-0.0025360805242746753
v28_avg45,all,"[0.550,0.600]",629,0.5734200851747503,0.6120826709062003,-0.03866258573144998
v28_avg45,all,"[0.600,0.650]",460,0.6232615282152915,0.6739130434782609,-0.050651515262969404
v28_avg45,all,"[0.650,0.700]",356,0.6744734298643804,0.702247191011236,-0.02777376114685559
v28_avg45,all,"[0.700,0.750]",277,0.7242894339113984,0.7292418772563177,-0.004952443344919288
v28_avg45,all,"[0.750,0.800]",290,0.7754756102245729,0.7931034482758621,-0.017627838051289202
v28_avg45,all,"[0.800,0.850]",263,0.8265730174089252,0.8631178707224335,-0.03654485331350832
v28_avg45,all,"[0.850,0.900]",290,0.8746685981634177,0.9241379310344827,-0.04946933287106503
v28_avg45,all,"[0.900,0.950]",383,0.9261211795878871,0.9321148825065274,-0.00599370291864032
v28_avg45,all,"[0.950,0.975]",259,0.9635799762256974,0.9498069498069498,0.013773026418747558
v28_avg45,all,"[0.975,1.000]",845,0.993510495257033,0.9928994082840237,0.0006110869730093782
v28_avg45,train,"[0.500,0.550]",529,0.5246114193701644,0.5330812854442344,-0.008469866074069965
v28_avg45,train,"[0.550,0.600]",404,0.573185036992872,0.6138613861386139,-0.04067634914574181
v28_avg45,train,"[0.600,0.650]",285,0.6227871058630775,0.6912280701754386,-0.06844096431236113
v28_avg45,train,"[0.650,0.700]",223,0.6747996987647848,0.7085201793721974,-0.033720480607412506
v28_avg45,train,"[0.700,0.750]",168,0.7245359103567687,0.75,-0.025464089643231325
v28_avg45,train,"[0.750,0.800]",165,0.7752185372780378,0.8,-0.024781462721962244
v28_avg45,train,"[0.800,0.850]",169,0.8277195253826444,0.8698224852071006,-0.04210295982445622
v28_avg45,train,"[0.850,0.900]",183,0.874826124514931,0.9289617486338798,-0.05413562411894879
v28_avg45,train,"[0.900,0.950]",224,0.9255382634634545,0.9419642857142857,-0.01642602225083123
v28_avg45,train,"[0.950,0.975]",152,0.963057652895921,0.9473684210526315,0.01568923184328952
v28_avg45,train,"[0.975,1.000]",436,0.9934399454516273,0.9931192660550459,0.00032067939658142475
v28_avg45,validation,"[0.500,0.550]",145,0.5234456661087067,0.4896551724137931,0.033790493694913604
v28_avg45,validation,"[0.550,0.600]",106,0.5755422451633868,0.6037735849056604,-0.028231339742273542
v28_avg45,validation,"[0.600,0.650]",78,0.6262260912112053,0.6410256410256411,-0.014799549814435764
v28_avg45,validation,"[0.650,0.700]",63,0.6745469966585218,0.6666666666666666,0.007880329991855173
v28_avg45,validation,"[0.700,0.750]",50,0.7258255009961582,0.66,0.06582550099615814
v28_avg45,validation,"[0.750,0.800]",58,0.7750877714342134,0.7758620689655172,-0.0007742975313038691
v28_avg45,validation,"[0.800,0.850]",44,0.8238616560620092,0.7954545454545454,0.028407110607463815
v28_avg45,validation,"[0.850,0.900]",62,0.8779063881826112,0.9354838709677419,-0.05757748278513064
v28_avg45,validation,"[0.900,0.950]",92,0.9269360490712254,0.9239130434782609,0.003023005592964534
v28_avg45,validation,"[0.950,0.975]",59,0.9635453149063791,0.9491525423728814,0.014392772533497689
v28_avg45,validation,"[0.975,1.000]",225,0.992760281302598,0.9911111111111112,0.001649170191486804
v28_avg45,holdout,"[0.500,0.550]",172,0.5257872874644429,0.5406976744186046,-0.014910386954161692
v28_avg45,holdout,"[0.550,0.600]",119,0.5723277364914169,0.6134453781512605,-0.04111764165984366
v28_avg45,holdout,"[0.600,0.650]",97,0.6222715741606494,0.6494845360824743,-0.027212961921824874
v28_avg45,holdout,"[0.650,0.700]",70,0.6733678202526511,0.7142857142857143,-0.04091789403306323
v28_avg45,holdout,"[0.700,0.750]",59,0.7222858509103782,0.7288135593220338,-0.0065277084116556194
