dataset,split,feature,bucket,rows,brier_delta,logloss_delta,candidate_brier,candidate_logloss,mean_p_yes,yes_rate
all_heartbeats,all,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(4.79, 21.671]",2377,2.6434641661743363e-07,-0.0001599047410014709,0.18417614072044491,0.5354593195994274,0.370922544238119,0.34118636937315944
all_heartbeats,train,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(-0.529, -1.11e-05]",1463,0.0008647600648740567,0.00882964671546388,0.07897166751368062,0.27533781578743255,0.5942283113334226,0.5768967874231032
all_heartbeats,train,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(-1.11e-05, 0.431]",1479,0.00044627917184028587,0.003620168866830503,0.06691960724047459,0.24997220864650477,0.4355792780236884,0.4171737660581474
all_heartbeats,train,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(-22.816, -5.332]",1495,6.385048487983491e-05,-0.0003265957556155552,0.19813972347960498,0.58856804238869,0.6467149252009073,0.6367892976588628
all_heartbeats,train,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(-5.332, -0.529]",1534,-0.00024296615692084855,-0.0009135215385878137,0.15027731441689993,0.4484389570546834,0.6230069123435067,0.6232073011734028
all_heartbeats,train,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(-920.275, -22.816]",1247,9.082682112676599e-05,-0.00020262918643676464,0.1768497541673446,0.5291114664912013,0.7043586076419623,0.7401764234161988
all_heartbeats,train,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(0.431, 4.79]",1530,-0.0002518660141683504,-0.0003583564073634249,0.1511867509060898,0.45593909490563894,0.3817088787655939,0.38823529411764707
all_heartbeats,train,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(21.671, 520.961]",1235,0.00012033448090753573,0.0002664332219773913,0.19703082979955625,0.5747888302201781,0.3442398698489263,0.334412955465587
all_heartbeats,train,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(4.79, 21.671]",1415,6.371045024433641e-05,9.638423173508048e-05,0.19067331721631126,0.5531444797976953,0.37161747039481735,0.3575971731448763
all_heartbeats,validation,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(-0.529, -1.11e-05]",516,-0.00012956457155438583,-0.0002249430694956367,0.056653434794528834,0.17266182173686226,0.5858863770932187,0.5872093023255814
all_heartbeats,validation,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(-1.11e-05, 0.431]",532,-9.157850306408533e-05,3.973423663557185e-05,0.034726709137753685,0.11311192817088918,0.39530239785037596,0.39097744360902253
all_heartbeats,validation,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(-22.816, -5.332]",505,-6.134675089539132e-05,-0.00022871900086718355,0.17294773917756112,0.5100062287993645,0.6724668891653421,0.7267326732673267
all_heartbeats,validation,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(-5.332, -0.529]",453,-0.0003559328840495035,-0.0007306201315817051,0.1136118661526193,0.3664725120672767,0.6404146263045611,0.6622516556291391
all_heartbeats,validation,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(-920.275, -22.816]",418,-2.9020942396790206e-05,-0.0011597283628856925,0.177185777341327,0.5450618255131775,0.7169232442669675,0.6866028708133971
all_heartbeats,validation,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(0.431, 4.79]",498,-0.00024742603167715593,5.314670579253944e-05,0.12721157276445638,0.3892084142525693,0.44067442923344907,0.3514056224899598
all_heartbeats,validation,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(21.671, 520.961]",429,-0.0002576420682759706,-0.0015081971888657453,0.21048805689126546,0.6153612469103665,0.3151185860167624,0.3939393939393939
all_heartbeats,validation,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(4.79, 21.671]",467,-2.5074785708928404e-05,-0.00013130109989478722,0.21015027973742023,0.5877400887786518,0.40094857858152155,0.3683083511777302
all_heartbeats,holdout,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(-0.529, -1.11e-05]",399,0.0005902590660318077,0.002806579078817567,0.06240695679429046,0.19791025002691265,0.4936166224906615,0.43859649122807015
all_heartbeats,holdout,v35_h150_t102_antipersist3_anti_persistence_shift_dollars,"(-1.11e-05, 0.431]",366,8.127718890096891e-05,0.00011451922537106252,0.04834027319040147,0.1513293989895951,0.38442532041118516,0.3633879781420765
