market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26APR252230-30,no,finalized,2026-04-26T02:30:09.86974Z,2026-04-26T02:30:00Z,2026-04-26T02:30:00Z,active,2026-04-25 22:15:29,2026-04-25 22:30:14,118,kalshi_api
KXBTC15M-26APR252245-45,no,finalized,2026-04-26T02:45:09.918503Z,2026-04-26T02:45:00Z,2026-04-26T02:45:00Z,active,2026-04-25 22:30:29,2026-04-25 22:45:06,118,kalshi_api
KXBTC15M-26APR252300-00,no,finalized,2026-04-26T03:00:09.870117Z,2026-04-26T03:00:00Z,2026-04-26T03:00:00Z,active,2026-04-25 22:45:14,2026-04-25 23:00:08,120,kalshi_api
KXBTC15M-26APR252315-15,yes,finalized,2026-04-26T03:15:09.865107Z,2026-04-26T03:15:00Z,2026-04-26T03:15:00Z,active,2026-04-25 23:00:14,2026-04-25 23:15:10,120,kalshi_api
KXBTC15M-26APR252330-30,no,finalized,2026-04-26T03:30:09.867816Z,2026-04-26T03:30:00Z,2026-04-26T03:30:00Z,active,2026-04-25 23:15:14,2026-04-25 23:30:27,122,kalshi_api
KXBTC15M-26APR252345-45,no,finalized,2026-04-26T03:45:09.922202Z,2026-04-26T03:45:00Z,2026-04-26T03:45:00Z,active,2026-04-25 23:30:29,2026-04-25 23:45:28,120,kalshi_api
KXBTC15M-26APR260000-00,yes,finalized,2026-04-26T04:00:15.023752Z,2026-04-26T04:00:00Z,2026-04-26T04:00:00Z,active,2026-04-25 23:45:29,2026-04-26 00:00:00,116,kalshi_api
KXBTC15M-26APR260015-15,yes,finalized,2026-04-26T04:15:09.920041Z,2026-04-26T04:15:00Z,2026-04-26T04:15:00Z,active,2026-04-26 00:00:14,2026-04-26 00:15:02,120,kalshi_api
KXBTC15M-26APR260030-30,yes,finalized,2026-04-26T04:30:09.921737Z,2026-04-26T04:30:00Z,2026-04-26T04:30:00Z,active,2026-04-26 00:15:14,2026-04-26 00:30:19,122,kalshi_api
KXBTC15M-26APR260045-45,yes,finalized,2026-04-26T04:45:09.917529Z,2026-04-26T04:45:00Z,2026-04-26T04:45:00Z,active,2026-04-26 00:30:29,2026-04-26 00:45:21,120,kalshi_api
KXBTC15M-26APR260100-00,yes,finalized,2026-04-26T05:00:09.916769Z,2026-04-26T05:00:00Z,2026-04-26T05:00:00Z,active,2026-04-26 00:45:29,2026-04-26 01:00:08,118,kalshi_api
KXBTC15M-26APR260115-15,yes,finalized,2026-04-26T05:15:09.918681Z,2026-04-26T05:15:00Z,2026-04-26T05:15:00Z,active,2026-04-26 01:00:14,2026-04-26 01:14:59,118,kalshi_api
KXBTC15M-26APR260130-30,no,finalized,2026-04-26T05:30:09.919548Z,2026-04-26T05:30:00Z,2026-04-26T05:30:00Z,active,2026-04-26 01:15:14,2026-04-26 01:30:16,122,kalshi_api
KXBTC15M-26APR260145-45,no,finalized,2026-04-26T05:45:09.927654Z,2026-04-26T05:45:00Z,2026-04-26T05:45:00Z,active,2026-04-26 01:30:29,2026-04-26 01:45:23,120,kalshi_api
KXBTC15M-26APR260200-00,no,finalized,2026-04-26T06:00:09.866185Z,2026-04-26T06:00:00Z,2026-04-26T06:00:00Z,active,2026-04-26 01:45:29,2026-04-26 02:00:29,120,kalshi_api
KXBTC15M-26APR260215-15,,,,2026-04-26T06:15:00Z,2026-04-26T06:15:00Z,active,2026-04-26 02:00:39,2026-04-26 02:15:05,116,api_error: 429 Client Error: Too Many Requests for url: https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26APR260215-15
KXBTC15M-26APR260230-30,no,finalized,2026-04-26T06:30:09.863565Z,2026-04-26T06:30:00Z,2026-04-26T06:30:00Z,active,2026-04-26 02:15:09,2026-04-26 02:30:11,120,kalshi_api
KXBTC15M-26APR260245-45,yes,finalized,2026-04-26T06:45:09.871149Z,2026-04-26T06:45:00Z,2026-04-26T06:45:00Z,active,2026-04-26 02:30:24,2026-04-26 02:45:13,120,kalshi_api
KXBTC15M-26APR260300-00,no,finalized,2026-04-26T07:07:40.671554Z,2026-04-26T07:00:00Z,2026-04-26T07:00:00Z,active,2026-04-26 02:45:24,2026-04-26 03:00:30,122,kalshi_api
KXBTC15M-26APR260315-15,yes,finalized,2026-04-26T07:15:09.866284Z,2026-04-26T07:15:00Z,2026-04-26T07:15:00Z,active,2026-04-26 03:00:39,2026-04-26 03:15:03,116,kalshi_api
KXBTC15M-26APR260330-30,no,finalized,2026-04-26T07:30:09.865754Z,2026-04-26T07:30:00Z,2026-04-26T07:30:00Z,active,2026-04-26 03:15:09,2026-04-26 03:30:19,122,kalshi_api
KXBTC15M-26APR260345-45,no,finalized,2026-04-26T07:45:09.863247Z,2026-04-26T07:45:00Z,2026-04-26T07:45:00Z,active,2026-04-26 03:30:24,2026-04-26 03:45:21,120,kalshi_api
KXBTC15M-26APR260400-00,yes,finalized,2026-04-26T08:00:09.861616Z,2026-04-26T08:00:00Z,2026-04-26T08:00:00Z,active,2026-04-26 03:45:24,2026-04-26 04:00:38,122,kalshi_api
KXBTC15M-26APR260415-15,no,finalized,2026-04-26T08:15:09.865203Z,2026-04-26T08:15:00Z,2026-04-26T08:15:00Z,active,2026-04-26 04:00:39,2026-04-26 04:14:55,114,kalshi_api
KXBTC15M-26APR260430-30,yes,finalized,2026-04-26T08:30:09.867319Z,2026-04-26T08:30:00Z,2026-04-26T08:30:00Z,active,2026-04-26 04:15:09,2026-04-26 04:30:12,122,kalshi_api
KXBTC15M-26APR260445-45,,,,2026-04-26T08:45:00Z,2026-04-26T08:45:00Z,active,2026-04-26 04:30:24,2026-04-26 04:45:14,120,api_error: 429 Client Error: Too Many Requests for url: https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26APR260445-45
KXBTC15M-26APR260500-00,no,finalized,2026-04-26T09:00:09.866132Z,2026-04-26T09:00:00Z,2026-04-26T09:00:00Z,active,2026-04-26 04:45:24,2026-04-26 05:00:31,122,kalshi_api
KXBTC15M-26APR260515-15,no,finalized,2026-04-26T09:15:09.868004Z,2026-04-26T09:15:00Z,2026-04-26T09:15:00Z,active,2026-04-26 05:00:39,2026-04-26 05:15:08,116,kalshi_api
KXBTC15M-26APR260530-30,yes,finalized,2026-04-26T09:30:09.868123Z,2026-04-26T09:30:00Z,2026-04-26T09:30:00Z,active,2026-04-26 05:15:09,2026-04-26 05:30:11,120,kalshi_api
KXBTC15M-26APR260545-45,no,finalized,2026-04-26T09:45:09.863532Z,2026-04-26T09:45:00Z,2026-04-26T09:45:00Z,active,2026-04-26 05:30:24,2026-04-26 05:45:13,120,kalshi_api
KXBTC15M-26APR260600-00,,,,2026-04-26T10:00:00Z,2026-04-26T10:00:00Z,active,2026-04-26 05:45:24,2026-04-26 06:00:30,122,api_error: 429 Client Error: Too Many Requests for url: https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26APR260600-00
KXBTC15M-26APR260615-15,yes,finalized,2026-04-26T10:15:09.867164Z,2026-04-26T10:15:00Z,2026-04-26T10:15:00Z,active,2026-04-26 06:00:39,2026-04-26 06:15:02,116,kalshi_api
KXBTC15M-26APR260630-30,no,finalized,2026-04-26T10:30:09.863709Z,2026-04-26T10:30:00Z,2026-04-26T10:30:00Z,active,2026-04-26 06:15:09,2026-04-26 06:30:21,122,kalshi_api
KXBTC15M-26APR260645-45,no,finalized,2026-04-26T10:45:09.866475Z,2026-04-26T10:45:00Z,2026-04-26T10:45:00Z,active,2026-04-26 06:30:24,2026-04-26 06:45:24,120,kalshi_api
KXBTC15M-26APR260700-00,no,finalized,2026-04-26T11:00:09.861944Z,2026-04-26T11:00:00Z,2026-04-26T11:00:00Z,active,2026-04-26 06:45:24,2026-04-26 06:59:58,112,kalshi_api
KXBTC15M-26APR260715-15,yes,finalized,2026-04-26T11:15:09.865279Z,2026-04-26T11:15:00Z,2026-04-26T11:15:00Z,active,2026-04-26 07:00:09,2026-04-26 07:15:00,120,kalshi_api
KXBTC15M-26APR260730-30,yes,finalized,2026-04-26T11:30:10.164808Z,2026-04-26T11:30:00Z,2026-04-26T11:30:00Z,active,2026-04-26 07:15:09,2026-04-26 07:30:10,120,kalshi_api
KXBTC15M-26APR260745-45,no,finalized,2026-04-26T11:45:09.866528Z,2026-04-26T11:45:00Z,2026-04-26T11:45:00Z,active,2026-04-26 07:30:24,2026-04-26 07:45:28,122,kalshi_api
KXBTC15M-26APR260800-00,yes,finalized,2026-04-26T12:00:09.864545Z,2026-04-26T12:00:00Z,2026-04-26T12:00:00Z,active,2026-04-26 07:45:39,2026-04-26 07:59:54,114,kalshi_api
KXBTC15M-26APR260815-15,no,finalized,2026-04-26T12:15:09.863671Z,2026-04-26T12:15:00Z,2026-04-26T12:15:00Z,active,2026-04-26 08:00:09,2026-04-26 08:15:02,120,kalshi_api
KXBTC15M-26APR260830-30,no,finalized,2026-04-26T12:30:09.862714Z,2026-04-26T12:30:00Z,2026-04-26T12:30:00Z,active,2026-04-26 08:15:09,2026-04-26 08:30:16,120,kalshi_api
KXBTC15M-26APR260845-45,,,,2026-04-26T12:45:00Z,2026-04-26T12:45:00Z,active,2026-04-26 08:30:24,2026-04-26 08:45:35,120,api_error: 429 Client Error: Too Many Requests for url: https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26APR260845-45
KXBTC15M-26APR260900-00,no,finalized,2026-04-26T13:00:09.862815Z,2026-04-26T13:00:00Z,2026-04-26T13:00:00Z,active,2026-04-26 08:45:39,2026-04-26 08:59:54,114,kalshi_api
KXBTC15M-26APR260915-15,yes,finalized,2026-04-26T13:15:09.865049Z,2026-04-26T13:15:00Z,2026-04-26T13:15:00Z,active,2026-04-26 09:00:09,2026-04-26 09:14:59,118,kalshi_api
KXBTC15M-26APR260930-30,no,finalized,2026-04-26T13:30:09.867813Z,2026-04-26T13:30:00Z,2026-04-26T13:30:00Z,active,2026-04-26 09:15:09,2026-04-26 09:30:10,120,kalshi_api
KXBTC15M-26APR260945-45,yes,finalized,2026-04-26T13:45:09.860864Z,2026-04-26T13:45:00Z,2026-04-26T13:45:00Z,active,2026-04-26 09:30:24,2026-04-26 09:45:23,120,kalshi_api
KXBTC15M-26APR261000-00,,,,2026-04-26T14:00:00Z,2026-04-26T14:00:00Z,active,2026-04-26 09:45:24,2026-04-26 10:00:24,114,api_error: 429 Client Error: Too Many Requests for url: https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26APR261000-00
KXBTC15M-26APR261015-15,no,finalized,2026-04-26T14:15:09.870883Z,2026-04-26T14:15:00Z,2026-04-26T14:15:00Z,active,2026-04-26 10:00:39,2026-04-26 10:15:03,112,kalshi_api
KXBTC15M-26APR261030-30,yes,finalized,2026-04-26T14:30:09.869827Z,2026-04-26T14:30:00Z,2026-04-26T14:30:00Z,active,2026-04-26 10:15:09,2026-04-26 10:30:20,122,kalshi_api
KXBTC15M-26APR261045-45,no,finalized,2026-04-26T14:45:09.866028Z,2026-04-26T14:45:00Z,2026-04-26T14:45:00Z,active,2026-04-26 10:30:24,2026-04-26 10:45:21,120,kalshi_api
KXBTC15M-26APR261100-00,yes,finalized,2026-04-26T15:00:09.865304Z,2026-04-26T15:00:00Z,2026-04-26T15:00:00Z,active,2026-04-26 10:45:24,2026-04-26 11:00:38,122,kalshi_api
