market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26APR060415-15,yes,finalized,2026-04-06T08:15:13.493794Z,2026-04-06T08:15:00Z,2026-04-06T08:15:00Z,active,2026-04-06 04:00:20,2026-04-06 04:15:26,61,kalshi_api
KXBTC15M-26APR060430-30,yes,finalized,2026-04-06T08:30:13.432395Z,2026-04-06T08:30:00Z,2026-04-06T08:30:00Z,active,2026-04-06 04:15:36,2026-04-06 04:29:58,58,kalshi_api
KXBTC15M-26APR060445-45,yes,finalized,2026-04-06T08:45:13.481943Z,2026-04-06T08:45:00Z,2026-04-06T08:45:00Z,active,2026-04-06 04:30:05,2026-04-06 04:45:14,61,kalshi_api
KXBTC15M-26APR060500-00,no,finalized,2026-04-06T09:00:13.476692Z,2026-04-06T09:00:00Z,2026-04-06T09:00:00Z,active,2026-04-06 04:45:20,2026-04-06 05:00:16,60,kalshi_api
KXBTC15M-26APR060515-15,yes,finalized,2026-04-06T09:15:13.433085Z,2026-04-06T09:15:00Z,2026-04-06T09:15:00Z,active,2026-04-06 05:00:21,2026-04-06 05:15:33,61,kalshi_api
KXBTC15M-26APR060530-30,yes,finalized,2026-04-06T09:30:13.528324Z,2026-04-06T09:30:00Z,2026-04-06T09:30:00Z,active,2026-04-06 05:15:36,2026-04-06 05:30:05,58,kalshi_api
KXBTC15M-26APR060545-45,no,finalized,2026-04-06T09:45:13.481655Z,2026-04-06T09:45:00Z,2026-04-06T09:45:00Z,active,2026-04-06 05:30:06,2026-04-06 05:45:07,60,kalshi_api
KXBTC15M-26APR060600-00,no,finalized,2026-04-06T10:00:13.430641Z,2026-04-06T10:00:00Z,2026-04-06T10:00:00Z,active,2026-04-06 05:45:21,2026-04-06 06:00:08,60,kalshi_api
KXBTC15M-26APR060615-15,yes,finalized,2026-04-06T10:15:13.476555Z,2026-04-06T10:15:00Z,2026-04-06T10:15:00Z,active,2026-04-06 06:00:21,2026-04-06 06:15:25,61,kalshi_api
KXBTC15M-26APR060630-30,no,finalized,2026-04-06T10:30:13.732124Z,2026-04-06T10:30:00Z,2026-04-06T10:30:00Z,active,2026-04-06 06:15:36,2026-04-06 06:30:27,60,kalshi_api
KXBTC15M-26APR060645-45,yes,finalized,2026-04-06T10:45:13.677155Z,2026-04-06T10:45:00Z,2026-04-06T10:45:00Z,active,2026-04-06 06:30:36,2026-04-06 06:44:59,58,kalshi_api
KXBTC15M-26APR060700-00,no,finalized,2026-04-06T11:00:13.477258Z,2026-04-06T11:00:00Z,2026-04-06T11:00:00Z,active,2026-04-06 06:45:06,2026-04-06 07:00:16,61,kalshi_api
KXBTC15M-26APR060715-15,no,finalized,2026-04-06T11:15:13.479774Z,2026-04-06T11:15:00Z,2026-04-06T11:15:00Z,active,2026-04-06 07:00:21,2026-04-06 07:15:17,60,kalshi_api
KXBTC15M-26APR060730-30,no,finalized,2026-04-06T11:30:13.426322Z,2026-04-06T11:30:00Z,2026-04-06T11:30:00Z,active,2026-04-06 07:15:21,2026-04-06 07:30:34,61,kalshi_api
KXBTC15M-26APR060745-45,yes,determined,,2026-04-06T11:45:00Z,2026-04-06T11:45:00Z,active,2026-04-06 07:30:36,2026-04-06 07:45:33,58,kalshi_api
