pt_cents,sl_cents,trades,skipped,total_net_pnl_dollars,actual_net_pnl_dollars,delta_vs_actual_dollars,mean_net_pnl_dollars,std_net_pnl_dollars,sharpe_like,wins,losses,win_rate,exit_count,settlement_count,exit_rate,avg_hold_seconds
17,69,95,0,-5.26,-7.83,2.57,-0.055368,0.762551,-0.072609,38,57,0.4,32,63,0.3368,317.96
17,70,95,0,-5.26,-7.83,2.57,-0.055368,0.762551,-0.072609,38,57,0.4,32,63,0.3368,317.96
17,71,95,0,-5.26,-7.83,2.57,-0.055368,0.762551,-0.072609,38,57,0.4,32,63,0.3368,317.96
17,72,95,0,-5.26,-7.83,2.57,-0.055368,0.762551,-0.072609,38,57,0.4,32,63,0.3368,317.96
27,29,95,0,-5.26,-7.83,2.57,-0.055368,0.605343,-0.091466,29,66,0.3053,28,67,0.2947,320.73
16,31,95,0,-5.26,-7.83,2.57,-0.055368,0.595736,-0.092941,33,62,0.3474,39,56,0.4105,280.65
13,20,95,0,-5.26,-7.83,2.57,-0.055368,0.504334,-0.109785,30,65,0.3158,41,54,0.4316,250.18
16,28,95,0,-5.27,-7.83,2.56,-0.055474,0.572192,-0.096949,32,63,0.3368,39,56,0.4105,277.77
17,65,95,0,-5.28,-7.83,2.55,-0.055579,0.763098,-0.072833,38,57,0.4,34,61,0.3579,314.78
26,29,95,0,-5.29,-7.83,2.54,-0.055684,0.604926,-0.092051,29,66,0.3053,28,67,0.2947,319.78
18,41,95,0,-5.3,-7.83,2.53,-0.055789,0.663095,-0.084135,35,60,0.3684,37,58,0.3895,296.24
28,19,95,0,-5.3,-7.83,2.53,-0.055789,0.530324,-0.105199,26,69,0.2737,30,65,0.3158,291.52
17,33,95,0,-5.31,-7.83,2.52,-0.055895,0.610119,-0.091613,33,62,0.3474,38,57,0.4,283.7
14,30,95,0,-5.31,-7.83,2.52,-0.055895,0.577656,-0.096761,33,62,0.3474,41,54,0.4316,273.73
17,49,95,0,-5.33,-7.83,2.5,-0.056105,0.689312,-0.081393,36,59,0.3789,36,59,0.3789,302.39
26,19,95,0,-5.33,-7.83,2.5,-0.056105,0.529836,-0.105892,26,69,0.2737,30,65,0.3158,290.89
27,19,95,0,-5.33,-7.83,2.5,-0.056105,0.529836,-0.105892,26,69,0.2737,30,65,0.3158,290.89
9,17,95,0,-5.34,-7.83,2.49,-0.05621,0.439214,-0.12798,31,64,0.3263,41,54,0.4316,228.65
18,75,95,0,-5.36,-7.83,2.47,-0.056421,0.777217,-0.072594,38,57,0.4,31,64,0.3263,322.14
18,42,95,0,-5.36,-7.83,2.47,-0.056421,0.664349,-0.084927,35,60,0.3684,37,58,0.3895,297.08
18,43,95,0,-5.36,-7.83,2.47,-0.056421,0.664349,-0.084927,35,60,0.3684,37,58,0.3895,297.08
15,24,95,0,-5.36,-7.83,2.47,-0.056421,0.538901,-0.104696,31,64,0.3263,39,56,0.4105,270.31
20,21,95,0,-5.36,-7.83,2.47,-0.056421,0.53665,-0.105136,28,67,0.2947,37,58,0.3895,271.58
18,77,95,0,-5.37,-7.83,2.46,-0.056526,0.77742,-0.07271,38,57,0.4,30,65,0.3158,324.03
18,78,95,0,-5.37,-7.83,2.46,-0.056526,0.77742,-0.07271,38,57,0.4,30,65,0.3158,324.03
17,34,95,0,-5.37,-7.83,2.46,-0.056526,0.610855,-0.092536,33,62,0.3474,38,57,0.4,283.83
18,76,95,0,-5.38,-7.83,2.45,-0.056632,0.777625,-0.072826,38,57,0.4,31,64,0.3263,322.15
17,50,95,0,-5.38,-7.83,2.45,-0.056632,0.690499,-0.082015,36,59,0.3789,36,59,0.3789,302.4
17,51,95,0,-5.38,-7.83,2.45,-0.056632,0.690499,-0.082015,36,59,0.3789,36,59,0.3789,302.4
25,29,95,0,-5.38,-7.83,2.45,-0.056632,0.603715,-0.093805,29,66,0.3053,28,67,0.2947,319.57
14,15,95,0,-5.38,-7.83,2.45,-0.056632,0.467047,-0.121254,27,68,0.2842,42,53,0.4421,245.26
6,21,95,0,-5.38,-7.83,2.45,-0.056632,0.40384,-0.140233,38,57,0.4,45,50,0.4737,211.81
6,12,95,0,-5.38,-7.83,2.45,-0.056632,0.350949,-0.161367,34,61,0.3579,52,43,0.5474,181.32
17,73,95,0,-5.39,-7.83,2.44,-0.056737,0.766546,-0.074016,38,57,0.4,32,63,0.3368,318.81
29,22,95,0,-5.39,-7.83,2.44,-0.056737,0.552005,-0.102783,27,68,0.2842,28,67,0.2947,311.94
